name_7714#0,"""グラート"""
ssn_014370_0001#0,"""おう！<br>あんた、なかなか腕が立ちそうだな。"""
ssn_014370_0002#0,"""ちょっと手伝ってもらいたいことがあるんだ。<br>もちろん、礼はするからよ！"""
ssn_014370_0101#0,"""おう、そっか……。<br>気が向いたら、また来てくれよ。"""
ssn_014370_0201#0,"""おう！<br>鉱石を持ってきてくれたのか？"""
ssn_014370_0301#0,"""モノタイトを5個渡す"""
ssn_014370_0302#0,"""やめる"""
ssn_014370_0401#0,"""しかと受け取ったぜ。<br>ありがとさん！"""
ssn_014370_0402#0,"""ん、ちょっと足りねえな……。<br>もうちょっと採ってきてくれるか？"""
ssn_014370_0403#0,"""おう、そうか。<br>いつでも待ってるぜ！"""
ssn_014370_0501#0,"""いやあ、助かったぜー！<br>これだけあれば、じゅうぶんだ。"""
ssn_014370_0502#0,"""……おっと、忘れちゃいけねえ！<br>こいつは礼だ。受け取ってくれ。"""
ssn_014370_0503#0,"""きっと役に立つと思うぜ。<br>遠慮なく使ってくれよな。"""
ssn_014370_0504#0,"""あと、困ったことがあったら、何でも言ってくれ。<br>いつでも相談に乗るからな。"""
ssn_014370_1001#0,"""お、ちょうどいいところに！"""
ssn_014370_1002#0,"""また手伝ってもらいたいことがあるんだ。<br>頼まれてくれないか？"""
ssn_014370_1101#0,"""おう、そっか……。<br>気が向いたら、また来てくれよ。"""
ssn_014370_1201#0,"""お？\u3000もう持ってきたのか？"""
ssn_014370_1301#0,"""デュアロマイトを5個渡す"""
ssn_014370_1302#0,"""やめる"""
ssn_014370_1401#0,"""しかと受け取ったぜ。<br>ありがとさん！"""
ssn_014370_1402#0,"""ん、ちょっと足りねえな……。<br>もうちょっと採ってきてくれるか？"""
ssn_014370_1403#0,"""おう、そうか。<br>いつでも待ってるぜ！"""
ssn_014370_1501#0,"""よし、状態も問題なし！<br>これならバッチリ、武器を鍛えられる。"""
ssn_014370_1502#0,"""いやあ、助かったぜー。<br>あんたに頼んで、正解だった。"""
ssn_014370_1503#0,"""そうだ、また礼をしないとな。<br>こいつを受け取ってくれ。"""
ssn_014370_1504#0,"""またなにか頼むかもしれない。<br>その時は、よろしくな！"""
ssn_014370_2001#0,"""あんたか、よく来てくれた！"""
ssn_014370_2002#0,"""また鉱石を採りに行ってほしいんだ。<br>頼めるか？"""
ssn_014370_2101#0,"""おう、そっか……。<br>気が向いたら、また来てくれよ。"""
ssn_014370_2201#0,"""お？\u3000もう持ってきたのか？"""
ssn_014370_2301#0,"""トライナイトを5個渡す"""
ssn_014370_2302#0,"""やめる"""
ssn_014370_2401#0,"""しかと受け取ったぜ。<br>ありがとさん！"""
ssn_014370_2402#0,"""ん、ちょっと足りねえな……。<br>もうちょっと採ってきてくれるか？"""
ssn_014370_2403#0,"""おう、そうか。<br>いつでも待ってるぜ！"""
ssn_014370_2501#0,"""よし、これで仕事にとりかかれる。<br>いい感じに、仕上げられそうだぜ！"""
ssn_014370_2502#0,"""いやあ、あんたには世話になりっぱなしだな。<br>ほんとに、ありがとさん！"""
ssn_014370_2503#0,"""そうそう、忘れないうちに礼を。<br>遠慮せずに、とっておいてくれ。"""
ssn_014370_2504#0,"""それにしてもあんた、<br>ホントにいい腕してるなあ……。"""
ssn_014370_2505#0,"""あんたみたいなアークスがいると、心強いぜ。<br>これからもよろしくな！"""
ssn_014370_2601#0,"""それにしてもあんた、<br>ホントにいい腕してるなあ……。"""
ssn_014370_2602#0,"""あんたみたいなアークスがいると、心強いぜ。<br>これからもよろしくな！"""
