11_voice_NPC_5051_100#0,"""啊啊，你來得正好!<br> 可以幫個忙麼?"""
favs_before_020#0,"""沒問題的，不是什麼委託。<br>還不如說是相反。"""
favs_before_030#0,"""這個請收下。<br>給你的禮物。"""
favs_after_010#0,"""因為平時都請你幫忙<br>這算是謝禮吧。"""
favs_after_020#0,"""之後也要請你多照顧了<br>也可說是事先先給報酬吧。"""
favs_after_030#0,"""......那麼，再見了、以後也請多多指教！"""
favs_present_110#0,"""從弗蘭卡那邊領到了『廚師帽』。"""
favs_present_120#0,"""從弗蘭卡那邊領到了『白色圍裙』。"""
favs_present_130#0,"""從弗蘭卡那邊領到了『＊弗蘭卡的平底鍋』。"""
favs_present_add_001#0,"""フランカから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5051_100#1,"""哎呀，你好像很忙耶。<br>怎麼了？"""
Kuro_01_020#0,"""咦？你問我對於最近在ARKS戰艦<br>裡晃來晃去的那隻貓<br>有什麼想法？這個嘛......"""
Kuro_01_030#0,"""......看起來好像很好吃......"""
Kuro_01_040#0,"""啊，嗯嗯沒事！<br>忘了我剛剛說的話吧！<br>拜拜！"""
sierra_010#0,"""あら、お菓子の試食？<br>あの子たち、さっそく作ったのね。<br>私の材料、どう活かしたのかしら？"""
11_voice_NPC_5051_101#0,"""做料理就是一種挑戰！<br>這是身為廚師絕對不可忘記<br>的鐵則。很棒對吧？"""
11_voice_NPC_5051_100#2,"""そしてこっちは……パイなのかしら？<br>まあ、１２匹のシャコが顔を覗かせて<br>どこからでも目が合うのね、斬新！"""
11_voice_NPC_5051_106#0,"""お味は……うふうっ！\u3000ふぉぶっ！<br>か、身体が張り裂けそう……刺激的ね。<br>使い方次第で、世界を征服できるわ……"""
sierra_050#0,"""ふふ、どっちのお菓子もよかったわよ。<br>常識を超えた発想に、ハッとしたもの。<br>いい刺激になったって、伝えてね！"""
11_voice_NPC_5051_100#3,"""嗯?你喜歡這個服裝麼?<br>這可是料理人的正式服裝唷。<br>也就是我的戰鬥服!"""
11_voice_NPC_5051_100#4,"""我一定要做出好吃的料理，<br>讓大家看了就流口水！"""
11_voice_NPC_5051_100#5,"""我一定要做出好吃的料理，<br>讓大家看了就流口水！"""
11_voice_NPC_5051_104#0,"""用人工素材<br>做出來的料理，<br>果然大家都覺得吃膩了。"""
11_voice_NPC_5051_104#1,"""用人工素材<br>做出來的料理，<br>果然大家都覺得吃膩了。"""
11_voice_NPC_5051_101#1,"""做料理就是一種挑戰！<br>這是身為廚師絕對不可忘記<br>的鐵則。很棒對吧？"""
11_voice_NPC_5051_101#2,"""做料理就是一種挑戰！<br>這是身為廚師絕對不可忘記<br>的鐵則。很棒對吧？"""
11_voice_NPC_5051_100#6,"""食材的新鮮程度就是料裡的生命！<br>所以要盡快把食材帶來給我喔！<br>因為這就是好吃的祕訣！"""
11_voice_NPC_5051_100#7,"""食材的新鮮程度就是料裡的生命！<br>所以要盡快把食材帶來給我喔！<br>因為這就是好吃的祕訣！"""
11_voice_NPC_5051_100#8,"""食材的新鮮程度就是料裡的生命！<br>所以要盡快把食材帶來給我喔！<br>因為這就是好吃的祕訣！"""
11_voice_NPC_5051_100#9,"""食材的新鮮程度就是料裡的生命！<br>所以要盡快把食材帶來給我喔！<br>因為這就是好吃的祕訣！"""
11_voice_NPC_5051_100#10,"""食材的新鮮程度就是料裡的生命！<br>所以要盡快把食材帶來給我喔！<br>因為這就是好吃的祕訣！"""
11_voice_NPC_5051_100#11,"""要永遠記得吃飯的樂趣，<br>還有對食材的感謝喔！"""
Npc51_mb12_020#0,"""享受美食，<br>生活才有意義啊！"""
11_voice_NPC_5051_100#12,"""要永遠記得吃飯的樂趣，<br>還有對食材的感謝喔！"""
Npc51_mb13_020#0,"""享受美食，<br>生活才有意義啊！"""
11_voice_NPC_5051_100#13,"""要永遠記得吃飯的樂趣，<br>還有對食材的感謝喔！"""
Npc51_mb14_020#0,"""享受美食，<br>生活才有意義啊！"""
11_voice_NPC_5051_100#14,"""正因這個時期，<br>才要心懷感激並享受吃飯的喜悅！"""
