text01#0,"""ยินดีต้อนรับกลับมา <br>ข้าพูดได้เลยว่าไม่ได้ทำมาสำหรับเจ้าตอนนี้<br>ข้ายินดีที่ได้สอนนักเรียนที่เก่งกาจเช่นเจ้า"""
text02#0,"""แต่ข้าคงไม่ต้องบอกใช่มั้ยว่า<br>สนามรบเป็นห้องเรียนที่ดีที่สุด"""
text03#0,"""ท่านคงเคยได้ยินสกิลชื่อ Partisan Gear ใช่ไหม? <br>ข้าจะบอกเจ้าเมื่อเราเสร็จเสร็จธุระที่นี่"""
11_voice_NPC_5054_100#0,"""หลังจากฝึกพิเศษรอบนี้แล้ว<br>คิดว่าฝีมือเท่านคงก้าวกระโดดไปอีกระดับนึงเลย<br>เตรียมตัวไว้ให้ดีแล้วกัน"""
text100#0,"""Partisan Gear"""
text101#0,"""เมื่อท่านได้เรียนสกิล Partisan Gear แล้ว<br>แถบ Gear จะเพิ่มไปยัง Weapon palette<br><br>Partisan gear gauge จะเพิ่มขึ้นหลังจากโจมตีด้วย Spinning Flurries<br>หรือท่านสามารถกด <%WeaponAction> เพื่อ Spinning Flurries และเติมเกจ Gear gauge"""
text102#0,"""Gear Gauge จะเพิ่มถึง 3 บาร์และ Photon Move แต่ละครั้งที่ใช้จะใช้ 1 บาร์<br>โดย Photon Move ที่ใช้ Gauge จะมีพลังมากขึ้น<br><br>Gear Gauge จะไม่ลดลงตลอดเวลา<br><br>Photon arts ที่ใช้ Gear gauge จะโจมตีได้กว้างขึ้นและรุนแรงมากขึ้น<br>ระบบ Partisan gear จะช่วยเพิ่มพลังการโจมตีของท่านได้อย่างมาก"""
text01#1,"""ご苦労だった。<br>現段階としてはまずまずの成果だ。<br>君が相手だと、私も教えがいがある。"""
text02#1,"""まあ君なら私が教えるまでもなく<br>実地でどんどん吸収してくれそうだな。"""
text03#1,"""ところでパルチザンギアについて<br>知っているか？<br>君に伝えておこう。"""
11_voice_NPC_5054_100#1,"""次の特訓では<br>さらに飛躍してくれることだろう。<br>楽しみにしているよ。"""
text100#1,"""『パルチザンギア』について"""
text101#1,"""パルチザンのギアシステムについて、説明します。<br><br>スキル「パルチザンギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>パルチザンのギアゲージは、乱舞アクションにより蓄積されます。<br>乱舞アクションは、攻撃のあとに華麗に舞うアクションです。<br><%WeaponAction>を長押しして乱舞を行い<br>ギアゲージを任意で蓄積することも可能です。"""
text102#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>フォトンアーツを使用するとゲージを１つ分消費します。<br>時間経過によるギアゲージの減少はありません。<br><br>ギアゲージを消費して放つフォトンアーツは、<br>攻撃範囲が拡大され強力になります。<br>舞うほどに強くなるのがパルチザンのギアシステムです。"""
