ssc_501070_0010#0,"""（小さく）鼻歌～♪"""
ssc_501070_0020#0,"""あっ、<%me>!?"""
ssc_501070_0030#0,"""もしかして、今の聞いてた？"""
ssc_501070_0040#0,"""なにかつぶやいてた？"""
ssc_501070_0050#0,"""声が聞こえたような？"""
ssc_501070_0060#0,"""ううん、歌の練習。"""
ssc_501070_0070#0,"""人前だと恥ずかしいから、<br>ここでこっそりやってたんだ。"""
ssc_501070_0080#0,"""歌の練習してたんだ。"""
ssc_501070_0090#0,"""誰もいないところで、<br>こっそりやってたんだけど、見つかっちゃった。"""
ssc_501070_0100#0,"""はー。<br>ナーデレフの歌、素敵だったよね。"""
ssc_501070_0110#0,"""あれだけ強くて、<br>歌まで上手いなんて、ズルいよ。"""
ssc_501070_0120#0,"""ハーディたちの演奏も、<br>すごかったし。"""
ssc_501070_0130#0,"""それで、自分も歌を？"""
ssc_501070_0140#0,"""うまく歌えるようになった？"""
ssc_501070_0150#0,"""うん。みんなで一緒に歌えたら、<br>楽しそうだなって思って。"""
ssc_501070_0160#0,"""うーん……。<br>まだ、練習中。"""
ssc_501070_0170#0,"""みんなと一緒に歌えたら、<br>楽しいんだろうなぁ。"""
ssc_501070_0180#0,"""最近はナーデレフとふたりで、<br>お話しすることがよくあって……。"""
ssc_501070_0190#0,"""歌の話もよくしてるんだ。"""
ssc_501070_0200#0,"""ナーデレフは、歌について、<br>武術と同じように、すごく真剣に取り組んでる感じだった。"""
ssc_501070_0210#0,"""どういう歌いかたをすると、<br>相手に気持ちが伝わるかとか、いろいろ研究してるみたい。"""
ssc_501070_0220#0,"""歌の力が現れなくて、人前では歌わなくなってたけど、<br>そのあいだも、ひとりでずっと練習してたんだって。"""
ssc_501070_0230#0,"""本当に、努力の人だよね。"""
ssc_501070_0240#0,"""そういう人だからこそ、<br>みんなで支えようって思えるんだろうね。"""
ssc_501070_0250#0,"""ナーデレフの歌は、あたしたちには作用しないって、<br>マノンは言ってたけど。"""
ssc_501070_0260#0,"""あたし、あの歌声を聞いていると、<br>元気がわいてくる気がするんだ。"""
ssc_501070_0270#0,"""そういえば、エアリオタウンのみんなも、<br>なにかあると歌ってたっけ……。"""
ssc_501070_0280#0,"""気持ちよく歌って、騒いで。<br>そのあとはしっかり寝て、次の日の戦いに備えてた。"""
ssc_501070_0290#0,"""歌には、もともと<br>そういう力があるのかもしれないね。"""
ssc_501070_0300#0,"""んー。……あたしも、なにかの力で、<br>誰かを元気にしてあげられる人になりたいなぁ。"""
ssc_501070_0310#0,"""あっ、そうそう。<br>ナーデレフとお話しするときにね。"""
ssc_501070_0320#0,"""お部屋に入れてもらったんだけど、<br>なんて言うか、すっごく可愛いかったんだ。"""
ssc_501070_0330#0,"""ベッドに、ピンク色のラッピーの<br>ぬいぐるみとかが、飾ってあるの。"""
ssc_501070_0340#0,"""あれって、どこで手に入れたんだろう。"""
ssc_501070_0350#0,"""侍女のどっちかが、<br>作ってくれたのかな？"""
ssc_501070_0360#0,"""それとも自分で……？"""
ssc_501070_0370#0,"""……あぁ！\u3000お部屋のことは、<br>話しちゃだめって、ナーデレフに言われてたんだった。"""
ssc_501070_0380#0,"""ごめん！\u3000忘れて！"""
