IncidentName#0,"""白の民を助太刀せよ！"""
TrialBeginMsg#0,"""$(0)を倒せ！"""
TrialAbstract#0,"""$(0)を$(1)体倒せ！"""
NpcComOnBegin#0,"""エネミーが白の民の街を襲撃。<br>白の民の戦士が迎撃に出ています。<br>各員、白の民に協力してください。"""
NpcComOnSuccess#0,"""敵性反応の消失を確認しました。<br>お疲れさまでした。"""
NpcComOnFailureDead#0,"""白の民の戦士が、全員戦線を離脱。<br>一時退避するようです。<br>任務失敗、通常任務に戻ってください。"""
NpcComOnFailureTimer#0,"""街の破壊状況は深刻……<br>エネミーも目標を達成し撤退を開始。<br>残念ながら、任務失敗です。"""
NpcComOnBegin#1,"""白の民の街が襲われている。<br>白の民の戦士達と協力して<br>エネミーを撃退しろ。"""
NpcComOnSuccess#1,"""敵性反応は完全に消失した。<br>よくやったな。"""
NpcComOnFailureDead#1,"""白の民が全員撤退してしまったか……<br>仕方がない、今回の任務は失敗だ。<br>各員、通常任務に戻れ。"""
NpcComOnFailureTimer#1,"""敵勢力は目的を達成し撤退をはじめた。<br>……残念だが、今回の任務は失敗だ。"""
NpcComOnBegin#2,"""わわっ、白の民さんの街が襲われてる！<br>白の民の戦士さんたちと力を合わせて<br>敵さんをやっつけちゃってくださいー！"""
NpcComOnSuccess#2,"""敵さん撃退完了！\u3000お見事ですっ！<br>すっばらしい連携でしたね！<br>お疲れさまでしたっ！"""
NpcComOnFailureDead#2,"""白の民の戦士さんたち、みんな撤退<br>しちゃいました……任務失敗です。<br>通常任務に戻ってください。"""
NpcComOnFailureTimer#2,"""ううう……敵さん撤退しはじめました。<br>目的達成しちゃったみたいです。<br>任務、失敗です……"""
NpcComOnBegin#3,"""白の民の街に、敵性存在の襲撃。<br>白の民の戦士が出撃しています。<br>各員、白の民に協力し、敵の迎撃を。"""
NpcComOnSuccess#3,"""敵性存在の反応、完全消失。<br>見事な対応でした。"""
NpcComOnFailureDead#3,"""白の民の戦士、全員撤退しました。<br>街を一部放棄し、待避するようです。<br>任務失敗となります。"""
NpcComOnFailureTimer#3,"""敵勢力、目標達成と同時に撤退を開始。<br>白の民の街、損害甚大。<br>……任務、失敗となります。"""
