un_012440_0010#0,"""อ้าว สวัสดีครับ สวัสดี <br>คุณ <%me><br>บังเอิญจังนะครับที่ได้มาพบกันที่นี่"""
un_012440_0020#0,"""ที่นี่ ผมหวังว่าจะได้พักมือจาก <br>Dark Falz ซะอีกแต่จู่ๆ<br>ก็ดันโดนมอบภารกิจใหม่มาให้......"""
un_012440_0030#0,"""ใช้เอาใช้เอาให้ตายสิ<br>เป็นองค์กรที่ใช้คนดุจริงๆ เลยนะครับ"""
un_012440_0040#0,"""แต่มันก็ช่วยไม่ได้ล่ะนะครับ ยิ่งเป็นคน<br>ที่มีความสามารถสูงมากเท่าไหร่พวกเราก็<br>ไม่ค่อยเหมาะที่จะทำภารกิจเป็นกลุ่มเท่าไหร่"""
un_012440_0050#0,"""ถ้าเป็นการต่อสู้ตัวต่อตัวก็ไม่มีปัญหาหรอกครับ<br>แต่ถ้าเป็นการต่อสู้แบบเป็นกลุ่มล่ะก็......<br>ไม่ค่อยอยากจะคิดถึงมันเลยนะครับ"""
un_012440_0060#0,"""ถ้างั้นผมกลับไปปฏิบัติภารกิจต่อแล้ว<br>ขอตัวก่อนนะครับ"""
un_012440_0010#1,"""おや、これはこれは、こんにちは。<br><%me>さん。<br>奇遇ですね、このような場所で。"""
un_012440_0020#1,"""いやはや、ダークファルスの手から<br>生還したと思いきや、いきなり<br>次の任務を申し渡されまして……"""
un_012440_0030#1,"""使える人をとことん使う。<br>まったく、人使いの荒い組織です。"""
un_012440_0040#1,"""まあ、仕方がないのですけどね。<br>能力の高い者ほど、我が強く<br>集団行動に不向きだったりしますし。"""
un_012440_0050#1,"""個の戦闘ならばそれでいいのですが<br>群の戦闘となると……<br>あまり考えたくありませんね。"""
un_012440_0060#1,"""それでは、私は任務に戻りますので<br>これで失礼しますね。"""
