un_062050_0010#0,"""さすがだ、キクヒメ！<br>その当て身、まさに芸術的だよ……！"""
un_062050_0020#0,"""やあ、マイフレンド！<br>会えて嬉しいよ。"""
un_062050_0030#0,"""心配は無用だとも。<br>この傷は、キクヒメとの修行で得た<br>かけがえのないものだからね。"""
un_062050_0040#0,"""愛しい子供がくれたものなら<br>たとえ傷であっても嬉しいものだよ。"""
un_062050_0050#0,"""彼女は、こう言ってるよ。<br>初めまして、キクヒメと申します。<br>お会いできて光栄です……とね。"""
un_062050_0060#0,"""キクヒメは礼儀正しく、気品があって<br>すごく仲間思いな子なんだよ！"""
un_062050_0070#0,"""ちょっと心配性だけど、優しいんだ。<br>疲れた僕をマッサージしてくれたりね。<br>キクヒメ、やってくれるかい？"""
un_062050_0080#0,"""アダ、アダダダダダ！"""
un_062050_0085#0,"""そんなに脇腹だけを執拗にマッサージ<br>しなくても……アダダダダ！"""
un_062050_0090#0,"""……グハッ！<br>いやあ、みぞおちマッサージは効くね！<br>冷たい汗が止まらないよ……！"""
un_062050_0100#0,"""僕への愛情、しかと受け止めたよ！<br>どうだい、マイフレンド！<br>優しい子だろう？"""
un_062050_0110#0,"""攻撃されているように見える"""
un_062050_0120#0,"""ピエトロが好きなんだね"""
un_062050_0130#0,"""これはマッサージだとも！<br>凝りをほぐして、疲れが取れる上に<br>体まで鍛えてくれているんだ。"""
un_062050_0140#0,"""僕もキクヒメが大好きだよ。<br>こんなに僕のことを大切に想って<br>くれているのがわかるからね。"""
un_062050_0150#0,"""あふれんばかりの愛情と<br>流れるような連撃をこの身で感じられて<br>僕は幸せだとも！"""
un_062050_0160#0,"""攻撃を次々と繋ぎながら決める姿は……<br>エレガントで、実にビューティフル！<br>まさに芸術と言っていい！"""
un_062050_0170#0,"""ははは、キクヒメは奥ゆかしいね。<br>当たり前のことです、恥ずかしいです。<br>褒められるほどではありません、か。"""
un_062050_0180#0,"""そうだ、マイフレンド！<br>今度、キクヒメの華麗で美しいコンボを<br>見せてあげ、グホアッ！"""
un_062050_0190#0,"""待って、ちょっと早……イダダダ！<br>落ち着い……アダ、アダダダ！！"""
un_062050_0200#0,"""すごいやる気だね、キクヒメ！<br>でも、ちょっとだけ待っダダダダダ！<br>死……グボボボア！！"""
