un_020250_0010#0,"""......哇！？<br><%me>閣下｡<br>什麼啦，不要嚇人啦。"""
un_020250_0020#0,"""快點，你也躲一下！<br>得到老師在那邊看吧？"""
un_020250_0030#0,"""看那裝備，八成是馬上要<br>出發進行實地調查了。<br>不過，這準備太疏忽了......"""
un_020250_0040#0,"""要我直接說？<br>這、這種事、這事......<br>現在是要我用什麼臉去見她啊......"""
un_020250_0050#0,"""哇、啊！<br>等、等一下，你在做什麼啊！"""
un_020250_0060#0,"""哦？　就說聲音怎麼這麼熟，<br>怎麼，這不是萊特嘛。"""
un_020250_0070#0,"""啊......老師，那個......"""
un_020250_0080#0,"""你終於肯露面了。<br>好啦，走吧。去做下一個調查吧。<br>一個人就是麻煩呢。"""
un_020250_0090#0,"""呃，老師......我......"""
un_020250_0100#0,"""......喂喂喂。<br>你還杵在那邊做什麼呢，<br>萊特。"""
un_020250_0110#0,"""你不是我的助手麼？<br>那還不趕快跟上。"""
un_020250_0120#0,"""......是！"""
un_020250_0130#0,"""啊啊，老師，這備用品是幹嘛的啊。<br>妳又挪用研究費買些沒用的東西啦！"""
un_020250_0140#0,"""什麼沒用，沒大沒小的。<br>一個研究者，只要覺得必要，<br>就該下定決心立即買下備著啊。"""
un_020250_0150#0,"""啊－－啊－－啊啊－－......<br>這樣隨便湊數喔......"""
un_020250_0160#0,"""你很吵耶。<br>這些的調整工作<br>不都是你的事情？　誰叫你不在這裡啊。"""
un_020250_0170#0,"""......知道了，知道了啦。<br>既然我歸隊了，<br>就不會讓妳再亂來！"""
un_020250_0180#0,"""身為研究者，這話我可不服。"""
