Title#0,"""世界を壊す流転の徒花"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星ナベリウス上空に【深遠なる闇】と<br>【双子】が出現し、地表に向けて侵攻を<br>開始した。【双子】は【深遠なる闇】への<br>進路を阻むように存在し、連戦は確実だ。<br>侵攻を阻止し、敵性存在を殲滅せよ。<br>――――――――――――――――――――<br>クエストクリア可能回数/１回<br>ランキング期間/任務発生から１時間３０分<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""【深遠なる闇】の撃破"""
Area0S#0,"""惑星ナベリウス上空"""
Area0L#0,"""惑星ナベリウス上空\u3000揚陸艇"""
Area1S#0,"""壊世の果て"""
Area1L#0,"""壊世の果て"""
Area1S#1,"""帰還の場"""
Area1L#1,"""帰還の場"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NpcComMsg1#0,"""間もなく、最前線へ転送されます。<br>目的はダークファルス【双子】を殲滅し<br>【深遠なる闇】への道を作ること。"""
NpcComMsg2#0,"""相手はダークファルス……その力の底は<br>計り知れません。どうか、気をつけて<br>無事に帰ってきてください。"""
NpcComMsg1#1,"""【深遠なる闇】への道は開かれました。<br>残る目的は、かの強大な目標を<br>打ち倒すことのみです。"""
NpcComMsg2#1,"""細かな指示や命令はありません。<br>敢然と戦い、必ず生還してください。<br>……絶対に、絶対ですよ。"""
