linewindow#0,"""สถานะผิดปกติ"""
text00#0,"""สถานะผิดปกติ"""
text01#0,"""เมื่อตัวละครหรือศัตรูถูกโจมตีบางครั้งจะมีโอกาสติดสถานะผิดปกติด้วย"""
text02#0,"""อย่างเช่นสถานะ \""Burn\"" ที่ทำให้เป้าหมายถูกเผา<br>และได้รับความเสียหายในช่วงเวลาหนึ่ง <br>ซึ่งมีโอกาสขยายไปยังเป้าหมายใกล้เคียงด้วย<br>สถานะผิดปกติมีหลายแบบเช่น Freeze, Shock, และ Poison"""
text03#0,"""สถานะผิดปกติจะหายไปหลังจากผ่านไปช่วงระยะ<br>เวลาหนึ่งท่านสามารถรักษาด้วยตนเองหรือให้<br>สมาชิกในปาร์ตี้รักษาโดยการใช้ [Area Purify Kit]"""
text04#0,"""สภาวะผิดปกติต่างๆจะแสดงด้วยสัญลักษณ์ดังต่อไปนี้<br><br> <pict ac_burn> : Burn(ไฟไหม้)<br> <pict ac_frieze> : Freeze(น้ำแข็งจับ)<br> <pict ac_shock> : Shock(ชา)<br> <pict ac_mirage> : Mirage(ภาพลวงตา)<br> <pict ac_panic> : Panic(สับสน)<br> <pict ac_poison> : Poison(ติดพิษ)"""
linewindow#1,"""<br>『状態異常』について<br>"""
text00#1,"""『状態異常』について"""
text01#1,"""状態異常について説明します。<br><br>キャラクターやエネミーは、<br>攻撃を受けた際に、状態異常と呼ばれる<br>変化が発生することがあります。"""
text02#1,"""例えば、状態異常「バーン」ですと、一定時間体が燃え続け<br>定期的にダメージを受けてしまいます。<br>また、近くにいるものにも燃え移る特性があります。<br><br>ほかにも、フリーズ、ショック、ポイズンなど、様々な状態異常があります。"""
text03#1,"""状態異常は、基本的に時間経過で自動的に解除されます。<br>アイテム「ソルアトマイザー」によって、<br>自分と仲間をすぐに回復させることが可能です。"""
text04#1,"""それぞれの状態異常に対応する表示は次のようになります。<br><br>\u3000<pict ac_burn> ：バーン（燃焼）<br>\u3000<pict ac_frieze> ：フリーズ（凍結）<br>\u3000<pict ac_shock> ：ショック（麻痺）<br>\u3000<pict ac_mirage> ：ミラージュ（幻視）<br>\u3000<pict ac_panic> ：パニック（混乱）<br>\u3000<pict ac_poison> ：ポイズン（毒）<br>"""
