st_012050_0005#0,"""【尋求真相所在】<br>暫用文字"""
st_012050_0010#0,"""侵入街道的達卡<br>剛剛應該是最後一批。<br>各ARKS已收到了返回命令。"""
st_012050_0020#0,"""剩下的是後續部隊的任務。<br>我們也回去吧。"""
st_012050_0030#0,"""............"""
st_012050_0040#0,"""<%me>閣下。<br>......不要緊的，我們回去吧。"""
st_012050_0050#0,"""必須更進一步的調查。<br>光是了解到這點<br>就已經是很大的收穫......"""
st_012050_0060#0,"""A.P.238/4/15/12:00:00"""
st_012050_0005#1,"""【真実のありかを求めて】<br>仮テキスト"""
st_012050_0010#1,"""市街地に侵入していたダーカーは<br>今ので最後のようです。<br>各員に帰還命令が下りました。"""
st_012050_0020#1,"""あとは後詰めの役割です。<br>私達も帰還しましょう。"""
st_012050_0030#1,"""…………"""
st_012050_0040#1,"""<%me>さん。<br>……大丈夫です、帰りましょう。"""
st_012050_0050#1,"""もっと調べなければいけない。<br>それがわかっただけでも<br>十分な収穫ですから……"""
st_012050_0060#1,"""A.P.238/4/15/12:00"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""第9章 荒誕的謝幕"""
skit01#1,"""The Uncontrollable Beast"""
skit02#1,"""第９章 筋違いのカーテンコール"""
