text01#0,"""เยี่ยมเลย ข้าเห็นในรายงานแล้ว <br>เจ้ากำจัดไปได้มาก มีแต่เลือดเต็มไปหมด!"""
text02#0,"""ท่านใช้ Gunslash ได้เหมาะกับสถานการณ์จริงๆ"""
text03#0,"""ดูเหมือน Gunslash นั้นจะเหมาะมือกับท่าน <br>ทำไมท่านไม่เก็บมันไว้ล่ะ?"""
text04#0,"""ข้าประทับใจกับรายงานมาก ดังนั้น..."""
11_voice_NPC_5026_100#0,"""จงทำดีต่อไป และทำให้แน่ใจว่า<br>ศัตรูจะต้องทรมาณที่สุดก่อนมันจะตาย"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Risa มาเป็นพาร์ทเนอร์ได้แล้ว"""
text100#0,"""Client Order"""
text101#0,"""Joseph ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ที่ประตูด้านบน"""
text01#1,"""ふふ……お疲れ様でしたあ。<br>報告も見ましたよお。<br>すばらしい……と思わず震えますねえ。"""
text02#1,"""ガンスラッシュの特長である<br>モードの使い分け、上手くやって<br>いらっしゃいますねえ。"""
text03#1,"""そのガンスラッシュも<br>あなたの手に馴染んでいるようですし<br>そのまま持っていってくださいねえ。"""
text04#1,"""わたしは、この報告を見ることが<br>出来ただけで満足ですからねえ。"""
11_voice_NPC_5026_100#1,"""それでは、今後もガンスラッシュを<br>上手く使って、敵さんをいっぱい<br>たくさん苦しめてあげてくださいねえ。"""
linewindow001#1,"""<br>リサをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
