11_voice_NPC_5315_100#0,"""私の名はＳＯＲＯ。<br>皆は、私のことを孤高さんと呼ぶ。"""
text_020#0,"""……といっても、それは地球にいる<br>ＰＳＯ２プレイヤーの話だな。<br>こちらの世界の人には関係ない。"""
text_030#0,"""ＳＯＲＯでも何でも<br>好きなように呼んでくれ。"""
text_010#0,"""どうにもイツキ達の様子が<br>気になってしまってな……"""
11_voice_NPC_5315_104#0,"""表立っては協力できない分<br>カフェエリアのほうで<br>こっそり見守っている。"""
11_voice_NPC_5315_100#1,"""私は元々、ソロプレイヤーだからな。<br>一人きりには慣れている。"""
text_020#1,"""……ちょっと距離ができたところで<br>気にしてないぞ。<br>全く気にしてない。"""
text_030#1,"""あ、でも……人手が必要なら<br>いつでも言ってくれ。<br>全力で手伝おう。"""
text_010#1,"""協調……いや、空気を読むということを<br>イツキに学ばせねばならん。"""
11_voice_NPC_5315_101#0,"""これから、イツキと共に<br>クエストへ行ってみるとしよう。"""
text_010#2,"""ＳＯＲＯ！<br>その……この前はごめんなさい！"""
11_voice_NPC_5315_100#2,"""なっ、何のことだ？<br>私はキミに謝られるようなことは……"""
text_030#2,"""ホワイトデーのプレゼントのことで<br>怒らせちゃったみたいで……<br>本当に、ごめん！"""
text_040#0,"""で、さ、このスキルリングなんだけど<br>ＳＯＲＯのために作ってみたんだ！<br>受け取って、もらえないか！"""
11_voice_NPC_5315_106#0,"""……これを、私に？"""
text_060#0,"""イツキ……ありがとう。<br>キミの心遣い、とても嬉しく思う。"""
11_voice_NPC_5261_101#0,"""喜んでもらえて良かった！<br>オレの手作りだからさ<br>大切にしてくれると嬉しいな！"""
text_080#0,"""<%me>さんも<br>ＳＯＲＯのと同じスキルリングですが<br>あとでお礼もかねて贈りますね！"""
11_voice_NPC_5315_102#0,"""……え？<br>私だけへのプレゼントでは、ないのか？"""
text_100#0,"""え？\u3000ど、どうしたのＳＯＲＯ？<br>震えてて、様子がおかしいけど……"""
11_voice_NPC_5315_104#1,"""わからないだと……？\u3000ならば<br>この後のクエストで、空気の読み方<br>振る舞い方というものを教えてやる！"""
11_voice_NPC_5261_106#0,"""え？\u3000えぇ？<br>なんでー……！？"""
