st_056120_0010#0,"""艾匹克國內，不知道被誰召喚出來的<br>神祕魔神城不斷地出現。"""
st_056120_0020#0,"""雖然說國民已經完成了避難<br>但是生活的基礎被魔神城蹂躪了<br>的話也就沒意義了。"""
st_056120_0030#0,"""守護輝士一行人一邊擊破魔神城<br>一邊向艾匹克國內前進。"""
st_056120_0040#0,"""目標就是，將艾匹克分爲四份然後支配起來的存在。<br>這四人分別坐落在艾匹克的東西南北。<br>將地方統治的要塞作爲據點。"""
st_056120_0050#0,"""這其中的一個，在艾匹克東部的要塞<br>強大的敵人正在等候着。"""
st_056120_0060#0,"""這會變成怎樣的命運的捉弄呢……<br>如今，守護輝士正要迎接和不詳的存在的邂逅。"""
st_056120_0080#0,"""啊，出現了！<br>那傢伙，就是那傢伙！四個人裏的一個。"""
st_056120_0100#0,"""誒，果然出現了啊，守護輝士。"""
st_056120_0110#0,"""咔咔咔咔！"""
st_056120_0130#0,"""哇……"""
st_056120_0150#0,"""哇……"""
st_056120_0170#0,"""……被我們的威嚴嚇得話都說不出來了吧。"""
st_056120_0180#0,"""不是，只是太吃驚了。"""
st_056120_0190#0,"""不過，別怕。<br>要是願意加入我的靡下的話，可是很歡迎的。"""
st_056120_0200#0,"""你的優秀我已經從瑪托依<br>那裏聽了無數次了。<br>是已經耳朵長繭的程度。"""
st_056120_0210#0,"""說的東西好像<br>亂七八槽的，那個愛花！<br>有在神諭時的記憶混在裏面。"""
st_056120_0220#0,"""既有愛花的感覺<br>也有黑暗法爾斯的感覺……"""
st_056120_0230#0,"""……我雖然不知道那個人的來歷<br>但是正在受到徒花的影響這是無庸置疑的。<br>不要被花言巧語騙了。"""
st_056120_0240#0,"""……交涉看起來破裂了呢。<br>那就沒辦法了，在這裏倒下吧。"""
st_056120_0250#0,"""閉嘴，反賊！<br>絕對不允許<br>你在我的國家肆意妄爲！"""
st_056120_0270#0,"""……瑪露桑，不覺得難爲情麼？"""
st_056120_0280#0,"""唔……哎呀怎麼說呢<br>像這種英雄譚一樣的，早就想試一次了……"""
st_056120_0290#0,"""你不是這個國家的王麼。<br>召喚我們出來的不是你麼<br>爲什麼還站在對面？"""
st_056120_0300#0,"""我們【若人】四天王。<br>應該是像你期望的一樣在行動啊？"""
st_056120_0310#0,"""那樣的話，那就在這裏像我期望的一樣<br>被守護輝士打倒，然後消失吧！"""
st_056120_0320#0,"""這對話已經不受控制了<br>剛才是不是說了什麼很重要的東西！？<br>實現瑪露桑的期望！"""
st_056120_0330#0,"""唔……關於這個，後面再跟你們說明！<br>不先打倒這傢伙的話<br>任何意義都沒有！"""
st_056120_0350#0,"""【若人】四天王之一，誤解之愛花。<br>來做你們的對手。"""
st_056120_0360#0,"""這個頭銜真的沒問題麼！？"""
st_056120_0370#0,"""……不願意也沒辦法改變。"""
st_056120_0390#0,"""上，我的僕人。展現出你的真實姿態吧。"""
st_056120_0400#0,"""咔ー咔咔咔！<br>咔咔！"""
name01#0,"""黑暗拉比"""
name02#0,"""？？？"""
