st_055150_0001#0,"""A.P.241/11/7/11:00"""
st_055150_0010#0,"""喲、<%me>。<br>打擾了。"""
st_055150_0020#0,"""炎雅、好久不見"""
st_055150_0030#0,"""怎麼了？"""
st_055150_0040#0,"""好久不見。<br>那之後<br>ARKS這邊麻煩你了。"""
st_055150_0050#0,"""我是被雪拉叫過來的。<br>作爲地球的代表<br>前來的。"""
st_055150_0060#0,"""這次關於阿卡西記錄的問題<br>和地球那邊也有關係的樣子<br>所以我過來提前説明一下。"""
st_055150_0070#0,"""聽起來好像是跟<br>地球上的邪魅有關係吧。"""
st_055150_0080#0,"""具現化了世界什麽的<br>大小還怪怪的……<br>嘛，幻創造神倒是也做了類似的事情。"""
st_055150_0090#0,"""啊啊，地球那邊沒什麽變化。<br>火繼和阿魯還活蹦亂跳呢。"""
st_055150_0100#0,"""時常出現的幻創種<br>也有地球先導和聖母星團<br>一起協助處理所以沒什麽大問題。"""
st_055150_0110#0,"""要是有什麽對付不了的東西出現了的話<br>ARKS也會來協助<br>所以也沒有什麽問題。"""
st_055150_0120#0,"""嘛，托ARKS的福<br>地球很和平。"""
st_055150_0130#0,"""……説起來，阿拉特隆老爺子和<br>那個數字笨蛋正在美國出差。"""
st_055150_0140#0,"""在宇宙發現了奇怪的東西<br>好像正在協助分析那個東西。"""
st_055150_0150#0,"""嘖，説曹操曹操就到<br>數字笨蛋就來聯絡了。<br>……挂掉可以麽？ 看來不行。"""
st_055150_0160#0,"""喂，10%好色男！<br>不要沒響到兩聲就接啊！"""
st_055150_0170#0,"""啊，吵死了吵死了！<br>知道了知道了，快説重點吧！"""
st_055150_0180#0,"""嗯？　你這家夥，在神諭？<br>爲什麽在那兒？"""
st_055150_0190#0,"""被叫過來的咯。<br>神諭這邊有點兒<br>大事出現了。"""
st_055150_0200#0,"""對的，大事！　這就是重點！<br>不只是神諭那邊這邊也<br>有大事發生了！　200%！"""
st_055150_0210#0,"""哈？　什麽意思？"""
st_055150_0220#0,"""話都説不清楚了。<br>老朽來説明吧。"""
st_055150_0230#0,"""老爺子？<br>……這就是説，相當嚴重的情況了麽。"""
st_055150_0240#0,"""喂喂，10%好色男！<br>你這家夥什麽意思！"""
st_055150_0250#0,"""好了好了別説了，奧庫。<br>ARKS的各位也請認真聽。"""
st_055150_0260#0,"""在離太陽系不太遠的地方<br>突然出現了一個黑洞。"""
st_055150_0270#0,"""雖然説是不太遠，但是也不會<br>就馬上會發生什麽糟糕的事……"""
st_055150_0280#0,"""……超新星爆發什麽的<br>預兆也沒有就突然出現的。"""
st_055150_0290#0,"""而且根據觀測數值來看<br>正在以非常快的速度變大。<br>根本不正常。"""
st_055150_0300#0,"""這個什麽黑洞<br>要是以現在的速度持續變大的話<br>會怎麽樣？"""
st_055150_0310#0,"""顯而易見。<br>不只是地球就連太陽系整個<br>都會被吞噬，整個太陽系。"""
st_055150_0320#0,"""我和奧庫正在同各國的政府機關一起<br>調查這個事情。"""
st_055150_0330#0,"""八坂炎雅，你就和ARKS一起<br>要是發現了什麽就馬上聯係我們。"""
st_055150_0340#0,"""出現黑洞而且<br>還以不正常的速度變大……<br>和這邊的情況是一樣的呢。"""
st_055150_0350#0,"""因爲阿卡西記錄是全宇宙的記錄。<br>所以雖然次元不同，但是同樣的現象<br>都發生了麽。"""
st_055150_0360#0,"""……慢慢變得<br>不能不管了呢。"""
st_055150_0370#0,"""也和火繼和阿魯説一下情況會<br>會比較好吧。"""
st_055150_0380#0,"""發生什麽了的話就由我來傳達。<br>地球那我去傳達。"""
st_055150_0390#0,"""知道了。<br>拜托你了。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
