un_012420_0010#0,"""หลังจากที่ตามเค้าลางของ Photon<br>ที่น่าจะมีปัญหา ตอนนี้ Huey อยู่ที่นี้แล้ว<br>แล้วว่าไงมีปัญหาอะไรมั่งหรือเปล่า!"""
un_012420_0020#0,"""โอ้ เจ้านี่เอง รอก่อน <br>เจ้ากำลังมีปัญหารึเปล่า?"""
un_012420_0030#0,"""ไม่มีทาง ใช่มั้ย? ข้าหมายถึงมันไม่จำเป็น<br>ต้องอายที่จะพูด แต่มันไม่มีทาง ใช่มั้ย?!"""
un_012420_0040#0,"""แต่ยังรู้สึกนิดหน่อยอยู่เลย!<br>ทั้งนี้ทั้งนั้นคงเป็นเพราะ<br>Photon ที่น่าสะอิดสะเอียนนั่นแหงม!"""
un_012420_0050#0,"""บางครั้งข้าเองก็พูดคำว่าน่าสะอิดสะเอียน<br>เหมือนกันแต่มันไม่ใช่แบบนั้น!<br>ข้าหมายถึงกลิ่นอายต่างหาก!"""
un_012420_0060#0,"""......ดูเหมือนว่าน้ำตาจะไหลออกมา<br>นิดหน่อยแต่ไม่ต้องสนใจ!"""
un_012420_0070#0,"""ว่าแต่ว่ามันคืออะไรกันนะ นี่น่ะ<br>บรรยากาศรอบๆ ทั้งหมดมันเต็มไปด้วย <br>Photon ที่น่าเศร้าตลบอบอวลแบบนี้"""
un_012420_0080#0,"""ข้าคิดว่า Photon เป็นสิ่งที่แสดง<br>ถึงอารมณ์ของใครซักคน......"""
un_012420_0090#0,"""โว้ย แย่ชะมัด ข้าไม่สามารถช่วยพวกเขาได้!"""
un_012420_0100#0,"""ข้าจะลองวนหาต้นตอ<br>ต่อดูก็แล้วกัน!<br>เอาล่ะ ไว้เจอกันใหม่!"""
un_012420_0010#1,"""困った気配のフォトンに呼ばれ<br>オレことヒューイ、颯爽と登場！<br>さあ、何に困ってるのかな！？"""
un_012420_0020#1,"""ってあれ、君か。<br>まさか、困っていたのは君なのか？"""
un_012420_0030#1,"""いやいやまさかそんなそんな！<br>違うよねえ？\u3000だよねえ！"""
un_012420_0040#1,"""また少し感覚がずれているようだ！<br>それもこれも、最近感じている<br>気持ちの悪いフォトンのせいだな！"""
un_012420_0050#1,"""オレも時々キモいとか言われるが<br>そういうのとは違うことだぞ！<br>気味が悪いという意味だ！"""
un_012420_0060#1,"""……少し、泣きそうになったが<br>気にしない！"""
un_012420_0070#1,"""しかし何なんだろうな、これは。<br>大気全体にずーっと哀しげな<br>フォトンが漂っている感じだ。"""
un_012420_0080#1,"""フォトンを介しているからには<br>誰かの感情だと思うのだが……"""
un_012420_0090#1,"""ええい、それを救えないのが歯痒い！"""
un_012420_0100#1,"""オレは引き続き<br>この原因を探して回ってみる！<br>では、また会おう！"""
