name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_100#0,"""ท่านเพลิดเพลินกับการกำจัดศัตรูด้วย twin machineguns?"""
text02#0,"""Twin machineguns และ Gunners เป็นของคู่กัน!<br>ท่านรู้สึกดีกับมันมั้ย?"""
text03#0,"""ข้าชอบวิธีการจัดการพวกมันของท่านจริงๆ<br>อยากไปดูใกล้ๆ เพื่อเห็นพวกมันเลือดไหลและทรมาณ<br>ฮี่ ฮี่!"""
text04#0,"""อ้าว ขอโทษที กำลังยุ่งกับการจัดการศัตรูอยู่เหรอ<br>งั้นข้าไปก่อนนะ"""
text05#0,"""แค่นี้ล่ะ! ข้าหวังว่าท่านจะกลับมาพร้อมกับ<br>รายชื่อที่ได้กำจัดไปเป็นจำนวนมาก<br>ไปได้แล้ว!"""
11_voice_NPC_5026_100#1,"""どうですかあ？<br>ツインマシンガン<br>楽しめてますかあ？"""
text02#1,"""ツインマシンガンの動き<br>イコール、ガンナーの動きですよお。<br>じっくりお試ししましたかあ？"""
text03#1,"""敵さんにより近い場所で<br>苦しむ姿を見ることができるのは<br>いいことだと思いますねえ。ふふっ。"""
text04#1,"""ああ、まだ敵さんを虐めている<br>最中でしたかあ？<br>ごめんなさい、邪魔しましたねえ。"""
text05#1,"""では、それが終わったら、一度報告に<br>来てもらえると嬉しいですねえ。<br>ではでは、ではではでは。"""
