un_013130_0010#0,"""嗨嗨，是你啊！\u3000你的精神不錯嘛！"""
un_013130_0020#0,"""話說，你應該會來參加<br>由我主辦的戰技大會吧！"""
un_013130_0030#0,"""不，沒有啦，我們也不是<br>隨便亂起鬨的喔！<br>也不是因為我才會這麼吵鬧啊！"""
un_013130_0040#0,"""只是因為雷吉亞斯很忙，<br>選了個代理人正好是我而已啦！"""
un_013130_0050#0,"""也許有人會揶揄，這麼重大的<br>時期還要膨風擺門面，<br>但是，膨風也是一種精神表現！\u3000有什麼不好！"""
un_013130_0060#0,"""有些事情動一動就會看得清！<br>所以，不管什麼事<br>都應該不要退縮並勇於嘗試！"""
un_013130_0070#0,"""如果你還舉棋不定的話，<br>先別想得太難，<br>報名參加就對了！"""
un_013130_0080#0,"""我們另外準備了讓大家<br>大吃一驚的驚喜喔！"""
un_013130_0090#0,"""那麼，我先走了！<br>麻煩幫忙向四周宣傳一下囉！"""
un_013130_0010#1,"""やあやあ君か！\u3000元気そうだな君！"""
un_013130_0020#1,"""ところで君も、オレ主催の戦技大会に<br>参加してくれるよな！"""
un_013130_0030#1,"""いやいや何も、オレたちだって<br>無駄に騒いでいるわけじゃないぞ！<br>オレだから騒いでるってわけでもない！"""
un_013130_0040#1,"""レギアスが忙しいから、代わりに<br>オレが立てられただけだしな！"""
un_013130_0050#1,"""この大変な時期に空元気、と<br>揶揄されるかもしれないが<br>空元気も元気！\u3000何が悪い！"""
un_013130_0060#1,"""動くことで見えてくるものもある！<br>だから、何事も尻込みせずに<br>やってみるべきだ！"""
un_013130_0070#1,"""もしも迷っているのなら<br>難しく考えずに、まずは<br>参加してみるといいぞ！"""
un_013130_0080#1,"""みんなのびっくりするような<br>サプライズも用意しているからな！"""
un_013130_0090#1,"""では、オレは行く！<br>みんなに宣伝よろしくなっ！"""
