IncidentName#0,"""リリーパ族への伝言"""
TrialBeginMsg#0,"""リリーパ族の伝言を【ロビーアクション】で伝えろ！"""
TrialAbstract#0,"""リリーパ族の伝言を【ロビーアクション】で伝えろ！"""
ToastOnEnableGestureRange#0,"""【ロビーアクション】を使って伝言を伝えろ！"""
NpcComOnBegin#0,"""あれ？\u3000リリーパ族が伝言を<br>お願いしたがっているみたいですよ？<br>何を伝えて欲しいんでしょう……？"""
NpcComOnSuccess#0,"""/face2 伝言、伝わったようです！<br>ふぅ、なんだかこれでリリーパ族とも<br>仲良くなれた気がしますね！"""
NpcComOnFailure#0,"""/face4 ああっ、帰っちゃった？<br>うまく伝わらなかったんでしょうか……<br>仕方がないです、任務に戻りましょう"""
NpcComOnDwarfGestureA#0,"""仲間への伝言、でしょうか？<br>あっ、この動きと同じジェスチャーを<br>してみせれば伝わるかもです！"""
NpcComOnDwarfGestureB#0,"""むむ？\u3000このリリーパ族も<br>何か伝えたいことがあるみたいです<br>ジェスチャーに注目ですよー！"""
NpcComOnAppearDwarfA#0,"""リリーパ族のお仲間発見です！<br>でも、敵さんに怯えてて伝言なんて……<br>周囲の安全を確保してあげてください！"""
NpcComOnAppearDwarfB#0,"""リリーパ族のお仲間はっけーん！<br>今度は敵さんもいませんし、安全です！<br>さあ、伝言を伝えなくちゃですよー！"""
NpcComOnEnableGesture#0,"""さあ、伝言しちゃいましょう！<br>ロビーアクションで同じジェスチャーを<br>やってみせてあげるんですよー！"""
NpcComOnDisableGesture#0,"""怯えててこっちを見てくれません！<br>まずは周囲のエネミーを<br>倒してあげてくださいー！"""
NpcComOnGestureOK#0,"""/face2 上手く伝わったみたいですね！<br>リリーパ族も喜んでくれてます！"""
NpcComOnGestureNG#0,"""あれ……なんだかうまく<br>伝わっていないような……<br>別のジェスチャーをやってみましょう"""
NpcComOnHintKiss#0,"""/face2 なんだか誰かに愛情表現している<br>ように見えますね"""
NpcComOnHintYes#0,"""/face2 なんだか納得して頷いている<br>ように見えますね"""
NpcComOnHintThanks#0,"""/face2 なんだか誰かにお礼を言っている<br>ように見えますね"""
NpcComOnHintSorry#0,"""/face2 なんだか一生懸命謝っている<br>ように見えますね"""
NpcComOnHintClap#0,"""/face2 なんだかおめでとうと拍手している<br>ように見えますね"""
NpcComOnHintEncourage#0,"""/face2 なんだか元気か？\u3000と励ましている<br>ように見えますね"""
NpcComOnHintYell#0,"""/face2 なんだか誰かを応援している<br>ように見えますね"""
NpcComOnHintHeat#0,"""/face2 なんだか気合いを入れている<br>ように見えますね"""
