msc_012020_0010#0,"""みんな、集まってくれてありがとう。<br>早速だが、これを見てほしい。"""
msc_012020_0020#0,"""先の戦いでネクス・エアリオから多くの資材を得られたことで、<br>セントラルキャノンの開発も順調に進んでいる。"""
msc_012020_0030#0,"""それでも、まだ資材が不足していてね。<br>そこで、キミたちにお願いしたい任務があるんだ。"""
msc_012020_0040#0,"""これはリテムリージョン……。<br>ここから東にある地域だ。"""
msc_012020_0050#0,"""この広大な砂漠の地下には、豊富な資源が眠っていてね。<br>リテムリージョンの協力を得たいんだ。"""
msc_012020_0060#0,"""ただ、彼らもドールズとの戦いが続いていて、<br>ほかのリージョンに手を貸せるような状況ではない。"""
msc_012020_0070#0,"""あたしたちが行って、ドールズを<br>倒す手伝いをすればいいのかな？"""
msc_012020_0080#0,"""そうだね。<br>まず、キミたちに先遣隊として向かってほしい。"""
msc_012020_0090#0,"""現地で何が起きているのかを把握し、<br>彼らの手助けをする。"""
msc_012020_0100#0,"""そして、彼らとの協力関係を築いてもらいたい。"""
msc_012020_0110#0,"""わかった！<br>あたしたちに任せて！"""
msc_012020_0120#0,"""リテムリージョンには連絡を入れてある。<br>みんな、頼んだよ。"""
