un_013120_0010#0,"""ค่า สวัสดีค่า!<br>ร้านขายข่าวควบแพร่กระจายข่าว<br>หนึ่งเดียวของ ARKS! Pati จังเองค่า!"""
un_013120_0020#0,"""เลิกเพิ่มงานให้ชั้นโดยเติมคำนำหน้า<br>ตามใจชอบแบบไหนสักทีได้มั้ย<br>อ๊ะ สวัสดีค่ะ Tia ค่ะ"""
un_013120_0030#0,"""แหม ได้ยินรึเปล่าๆ ?<br>ได้ยินสินะ ได้ยินเหมือนกันใช่มั้ย?"""
un_013120_0040#0,"""ประกาศงานประลองฝีมือ!<br>จากมอนิเตอร์แจ็ค!<br>แหม ทำซะเด่นสะดุดตาเลย"""
un_013120_0050#0,"""เรื่องวิธีการประกาศน่ะช่างมันเถอะ<br>แต่ดูเหมือนว่าบางครั้งบางคราว<br>ก็มีจัดงานหรือเทศกาลแบบนี้ขึ้นสินะ"""
un_013120_0060#0,"""ก็นะ งานเพื่อระบายความเครียดไงล่ะ!<br>ก็คงคล้ายๆ กับการออกกำลังหลั่งเหงื่อ<br>ร่วมกันเพื่อระบายความไม่พอใจ! ล่ะมั้ง?"""
un_013120_0070#0,"""ทุกคนเองก็กำลังตึงเครียดกันอยู่<br>เพราะงั้นมันก็เหมาะเจาะพอดีเลยนะ ว่ามั้ย?"""
un_013120_0080#0,"""คุณไอดอลที่แทรกซึมเข้าไปในประชาชน<br>ทั่วไปนั่นเองก็ดูเหมือนว่าจะกำลัง<br>ตระเวนไปขอบคุณที่หลายๆ Ship อยู่นะ """
un_013120_0090#0,"""แม้ว่าจะผ่อนคลายมากเกินไปไม่ได้<br>แต่การพักผ่อนพอสมควรมันก็จำเป็น"""
un_013120_0100#0,"""ใช่แล้วใช่แล้ว พักพอควร<br>เล่นพอควร ทำงานพอควร!<br>นั่นแหละดีที่สุด!"""
un_013120_0110#0,"""......Pati จังน่ะทำแค่พักผ่อนครึ่งนึง<br>เล่นครึ่งนึงเท่านั้นเองไม่ใช่เหรอไง"""
un_013120_0010#1,"""はーい、どもども！<br>アークスいちの情報屋兼広報屋！<br>パティちゃんですよー！"""
un_013120_0020#1,"""肩書きを勝手につけたして<br>私の仕事を増やさないで。<br>あ、どうも、ティアです。"""
un_013120_0030#1,"""いやー、聞いた聞いた？<br>聞いてるよね聞いてるでしょ？"""
un_013120_0040#1,"""モニタージャック！<br>からのー、戦技大会告知！<br>いやー、目立ってたよねえ。"""
un_013120_0050#1,"""告知の方法はともかく<br>時々こういう大会とか<br>お祭り騒ぎはやってるみたい。"""
un_013120_0060#1,"""まー、ガス抜きってやつだね！<br>不平や不満を清く正しい運動で<br>汗とともに流しちゃおー！\u3000みたいな？"""
un_013120_0070#1,"""みーんなピリピリしてたし<br>ちょうどいい頃合いなんじゃないかな？"""
un_013120_0080#1,"""一般市民層に浸透している<br>アイドルさんも、いろんな船を<br>慰労訪問してるらしいの。"""
un_013120_0090#1,"""気を抜き過ぎちゃダメだけど<br>適度な休息は必要ってことね。"""
un_013120_0100#1,"""そーそー、適度に休んで<br>適度に遊んで適度にお仕事！<br>それが一番だよねー！"""
un_013120_0110#1,"""……パティちゃんは半分休んで<br>半分遊んでばっかりじゃない。"""
