74040101#0,"""はて、キミとは前にも会ったかな？<br>最近どうも、もの覚えがな……。"""
74040102#0,"""とにかく、わしのところに来たということは、<br>装備の強化について、知りたいのだな？"""
74040103#0,"""よかろう！<br>このヴルガンスが、手取り足取り教えてやろうぞ！"""
74040103_1#0,"""“武器や防具の強化”について"""
74040103_2#0,"""“限界突破”について"""
74040103_3#0,"""“特殊能力追加”について"""
74040103_4#0,"""“潜在能力解放”について"""
74040103_5#0,"""“プリセット能力”について"""
74040103_6#0,"""“エアリオで入手できる鉱石”について"""
74040103_7#0,"""“リテムで入手できる鉱石”について"""
74040103_8#0,"""“クヴァリスで入手できる鉱石”について"""
74040103_9#0,"""聞きたいことはない"""
74040103_10#0,"""“スティアで入手できる鉱石”について"""
