name01#0,"""シエラ"""
text01#0,"""カウンターは、エネミーの攻撃を<br><red>タイミングよくガードする<c>ことで<br>攻撃を無効化し、反撃します！"""
text02#0,"""ハンターのジャストガードと<br>似ていますが、カウンターは<br>より<red>攻撃的な防御手段<c>という感じです。"""
text03#0,"""エネミーの動きをよく見て<br><red>カウンター<c>をしてみましょう。"""
text101#0,"""課題２：<yellow>カタナでカウンターを3回成功させる"""
train_title#0,"""課題２：<yellow>カタナでカウンターを3回成功させる"""
tut_title#0,"""カウンターについて"""
text100#0,"""・エネミーの攻撃が当たる直前に<br>\u3000<%WeaponAction>でガードする"""
text100_3b#0,"""・エネミーの攻撃が当たる直前に<br>\u3000<%MainPaletteC>でガードする"""
tut_win_title#0,"""カウンターについて"""
tut_win_text100#0,"""「カタナ」を装備中は<br>武器アクションボタンを押している間、<br><c 00ffff>「ガード」することができます。<c><br><br>正面からのダメージを軽減できますが、<br>正面以外の攻撃はガードできないので<br>注意しましょう。"""
tut_win_text101#0,"""敵からの攻撃を受ける直前に、<br>タイミングよく『ガード』を行うことで<br>『カウンター』が発生し、ダメージを０に<br>して反撃のダメージを与えます。"""
tut_win_text102#0,"""また最大ギア状態でカウンターを行うと<br>一定時間攻撃力とクリティカル率に<br>ボーナスを得ることができます。"""
