IncidentName#0,"""$(0)殲滅作戦"""
TrialBeginMsg#0,"""$(0)を攻撃し、陽動せよ！"""
TrialAbstract#0,"""$(0)を攻撃し、陽動せよ！"""
NpcComOnBegin#0,"""使徒殲滅作戦、開始です。<br>A.I.S各機による陽動攻撃にて<br>エヴァ初号機から注意をそらします。"""
NpcComOnBegin_2#0,"""/atime2.5 /voice11_voice_navi09_prism_102 目標は形態を変えつつ攻撃してきます。<br>また、Ａ．Ｔ．フィールドと呼ばれる<br>強力なバリアも確認されています。"""
NpcComOnBegin_3#0,"""/atime2.5 /voice11_voice_navi09_prism_103 攻撃を繰り返すことで<br>Ａ．Ｔ．フィールドを破壊すれば<br>隙が生まれるはずです！"""
NpcComOnTargetPlayerFirstTime#0,"""/atime2.5 /voice11_voice_navi09_prism_104 目標からの強力な攻撃は<br>A.I.Sのカウンターシールドで<br>防いで下さい！"""
NpcComOnHelpBattery#0,"""/atime5.5 /voice11_voice_navi09_prism_105 北、東、西に援護砲台を<br>一基づつ配備しました。<br>強力な援護砲撃を準備中です。"""
NpcComOnHelpBattery_2#0,"""/atime2.5 /voice11_voice_navi09_prism_106 砲撃開始までには時間がかかります。<br>また、援護砲台が破壊された場合<br>周囲に被害が及びます。ご注意を！"""
NpcComOnBatteryAttack#0,"""/atime2.5 /voice11_voice_navi09_prism_107 援護砲撃開始！<br>反撃に備えてください。"""
NpcComOnBossDown#0,"""/atime2.5 /voice11_voice_navi09_prism_108 コアが露出しました。<br>今がチャンスです！"""
NpcComOnBatteryBreak1_1#0,"""/atime2.5 /voice11_voice_navi09_prism_109 援護砲台、一基消滅！<br>周辺に被害が出ています。"""
NpcComOnBatteryStart2#0,"""/atime2.5 /voice11_voice_navi09_prism_110 二基目、砲撃の準備に入ります。<br>準備完了後、強力な援護砲撃を<br>目標に行います。"""
NpcComOnBatteryBreak2_1#0,"""/atime2.5 /voice11_voice_navi09_prism_111 援護砲台、二基目消滅！<br>目標への陽動攻撃を続けてください。"""
NpcComOnBatteryStart3#0,"""/atime2.5 /voice11_voice_navi09_prism_112 最後の三基目<br>砲撃準備に移行します！"""
NpcComOnBatteryBreak3_1#0,"""/atime2.5 /voice11_voice_navi09_prism_113 援護砲台、すべて消滅！"""
NpcComOnEmergency#0,"""/atime2.5 /voice11_voice_navi09_prism_114 目標内部に高エネルギー反応！"""
NpcComOnChangeModeSt#0,"""/atime2.5 /voice11_voice_navi09_prism_115 エヴァ初号機が狙われています。<br>みなさん、がんばって！"""
NpcComOnChangeModeAs#0,"""/atime2.5 /voice11_voice_navipr01_prism_102 なっ、何なんだよあれっ！？<br>あんなの見たことないぞ！"""
NpcComOnChangeModeAs_2#0,"""/atime2.5 /voice11_voice_navipr02_prism_101 落ち着いて、シンジ君。<br>アークスの皆を信じましょう！"""
