un_043040_0001#0,"""A.D.2028/3/25"""
un_043040_0005#0,"""あらあらこんにちわあ！<br>なんだかお久しぶりな気がしますねえ。<br>リサですよ、覚えていますかあ？"""
un_043040_0010#0,"""こちらで会うとは珍しいですねえ。<br>あなたも撃ちに来たんですか、アレを。"""
un_043040_0020#0,"""リサがここにいるのが不思議です？<br>リサだけじゃなく、アークスの皆さん<br>誰しもが来ていますよお。"""
un_043040_0030#0,"""もちろん、アークスとしての出撃許可が<br>下りたときだけ、ですけどねえ。"""
un_043040_0040#0,"""ここに出てくる幻創種、でしたっけ？<br>あのふわふわっとした感じを撃つのが<br>ちょっと面白いんですよ。"""
un_043040_0050#0,"""撃った感触は、ダーカーに近い感じです。<br>生物ではなく、何かが形をとったような<br>不安定な存在ですねえ。"""
un_043040_0060#0,"""でも、頑張って形になろうともしているので<br>そのちょうど間の感触が新鮮で……<br>はあ……たまらないです。"""
un_043040_0070#0,"""自由に来られるあなたが本当に羨ましいです。<br>リサも守護輝士になりたいですよお。"""
un_043040_0080#0,"""まあもっとも、さまざま制限のある中で<br>撃って撃って撃って殺す方が、燃えもするので<br>このままでも構いませんけどねえ。ふふふ。"""
un_043040_0090#0,"""ではではそれでは、さようならあ。"""
