msc_011080_0010#0,"""山頂部のエネミーは“ナグルス”と推定。<br>出現個体数不明。"""
msc_011080_0020#0,"""周辺のドールズ増加も確認。"""
msc_011080_0030#0,"""引き続き、モニターを続けてくれ。<br>オランジェは森の方を。"""
msc_011080_0040#0,"""バタバタしてすまないね。"""
msc_011080_0050#0,"""話って？"""
msc_011080_0060#0,"""……三人とも、訓練の成績は申し分ない。<br>そこで……。"""
msc_011080_0070#0,"""次は、実地での技能を見させてほしいんだ。"""
msc_011080_0080#0,"""つい先ほど、ここから近い“マグナス山”に、<br>多数のドールズが現れた。"""
msc_011080_0090#0,"""その、討伐をお願いしたい。"""
msc_011080_0100#0,"""もちろん、キミたちだけとは言わないよ。<br>サポート役のアークスも、ちゃんとつける。"""
msc_011080_0110#0,"""……訓練の次は、いきなり実戦なのね。"""
msc_011080_0120#0,"""キミたちには、その力が充分にあると、僕は思っている。<br>どうだろう？\u3000やれそうかい？"""
msc_011080_0130#0,"""習うより慣れろってことだよね？<br>わかった。やってみる。"""
msc_011080_0140#0,"""準備ができたら、<br>マグナス山のふもとへ向かってもらえるかな？"""
msc_011080_0150#0,"""そこで、サポート役と<br>合流できるように手配してある。"""
msc_011080_0160#0,"""頼んだよ。"""
