Title#0,"""海灘大戰"""
Explanation#0,"""是夏天！\u3000是海！\u3000是希伊姊姊！<br>沃帕爾行星的海岸現在正是時節！<br>但或許是暑熱的影響，突然出現了<br>凶暴化的海王種或達卡<br>真是的，休假計畫都一蹋糊塗啦！<br>為了奪回休憩的地方，希望能借助<br>ARKS大家的力量呀！<br>來吧，來奪回耀眼的海灘吧！<br>――――――――――――――――――――<br>失敗條件/超過限制時間"""
Title#1,"""ビーチウォーズ！"""
Explanation#1,"""夏だっ！\u3000海だっ！\u3000シーおねえさんだっ！<br>惑星ウォパルの海岸はまさに今が旬っ！<br>なのに暑さのせいか、凶暴化した海王種や<br>突然現れるようになったダーカーやらで<br>もー、バカンス計画がむっちゃくちゃ！<br>憩いの場を取り戻すためにも<br>アークスのみんなの力を貸して欲しいなっ！<br>さあ、まばゆいビーチを取り戻そうっ！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""獲得海灘Pt！"""
SimpleExplanation#1,"""ビーチPtをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
