Title#0,"""Cradle of Darkness"""
Explanation#0,"""ขอแจ้งสถานการณ์ฉุกเฉินถึง ARKS ทุกหน่วย<br>จากจุดที่ตรวจพบสัญญาณของความช่วยเหลือจาก <br>ARKS ก่อนหน้านี้นั้น ปรากฏว่าแท้จริงที่นั่นรัง<br>ของพวก D-arker ขอให้ ARKS ทุกหน่วยที่มีความพร้อม<br>จงรุดไปยังจุดเกิดเหตุทันที และกำจัด Darker ให้สิ้นซาก<br>และเนื่องจากเป็นจุดที่คาดว่ามี D-arker อยู่กันเป็น<br>จำนวนมากจึงขอให้ทุกหน่วยโปรดระวังตัวด้วย<br>---------------------------------------------<br>เงื่อนไขความล้มเหลว / ภารกิจล้มเหลว<br>หรือใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""闇のゆりかご"""
Explanation#1,"""アークス各員へ緊急連絡。<br>不可解なアークスの信号を辿ったところ<br>ダーカーの巣窟らしき地点が特定された。<br>各員、準備が出来次第指定ポイントへと<br>向かい、ダーカーの巣窟を制圧せよ。<br><br>なお、現地では多数のダーカーの出現が<br>推測される。注意して任務にあたれ。<br>――――――――――――――――――――<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
