name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""คงเหนื่อยมากสินะ<br>ที่ต้องคอยดูแล Pati<br>แต่อย่างน้อยก็ดีที่กลับมาอย่างปลอดภัย"""
text02#0,"""ก็บอกแล้วนี่นา<br>Tia อ่ะขี้ห่วงมากเกินไปเอง !"""
11_voice_NPC_5014_102#0,"""ผิดที่ Pati ต่างหาก<br>ที่ทำให้ข้ากลายเป็นคนคิดมากขนาดนี้"""
text04#0,"""อ่ะน่าอ่ะหน่ะ นานๆทีได้อยู่ในเมือง<br>สบายๆ ก็ดีเหมือนกันไม่ใช่เหรอ?<br>จะได้พักร่างกายด้วยไง"""
text05#0,"""เรื่องนั้น...ก็จริงน่ะนะ"""
11_voice_NPC_5013_100#0,"""เฮ้อ เอาล่ะจบไปอีกเรื่องนึงแล้ว !<br>ขอบใจมากนะที่อุตส่าห์มาด้วยกัน !"""
text01#1,"""パティちゃんの付き添い<br>本当に、お疲れ様でした。<br>何事もなく無事でよかった。"""
text02#1,"""だから言ったじゃん<br>ティアは心配しすぎだって！"""
11_voice_NPC_5014_102#1,"""普段から心配させるようなことを<br>しているパティちゃんが悪い。"""
text04#1,"""まーまー、シティでゆっくり待つって<br>いうのも、たまには悪くないでしょ？<br>身体も休められるしさ。"""
text05#1,"""そんなこと……あるけど。"""
11_voice_NPC_5013_100#1,"""ふー、とにかくこれにて一件落着！<br>付き合ってくれて、ありがとね！"""
