11_voice_NPC_5063_100#0,"""教授、教授～!<br>你來得正好。"""
favs_before_020#0,"""教授，請別多問收下這個吧!"""
favs_after_010#0,"""平常總是受您照顧，<br>這只是一點微不足道的心意!"""
favs_after_020#0,"""對教授不論說什麼感謝的話都是不夠的<br>因此覺得至少要用什麼樣子的形式來展現謝意!"""
favs_after_030#0,"""那麼，教授!<br>今後也要麻煩您了。"""
11_voice_NPC_5063_100#1,"""先生、先生ーッ！<br>ちょうどいいところに<br>いらっしゃってくれました！"""
favs_before_020#1,"""先生！\u3000何も言わずにまずは<br>これをお受け取り下さい！"""
favs_after_010#1,"""いつもいつもお世話になっている<br>先生に、ささやかながらの<br>お礼の品、というやつです！"""
favs_after_020#1,"""先生には、どれだけ礼を言っても<br>足りないほどですから、せめて<br>何らかの形でお礼をと思いまして！"""
favs_after_030#1,"""それでは、先生！<br>今後ともよろしくお願いします！"""
favs_present_010#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_020#0,"""從魯貝爾特那邊領到了『追蹤射擊』。"""
favs_present_030#0,"""從魯貝爾特那邊領到了『滑衝四連射』。"""
favs_present_040#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_050#0,"""從魯貝爾特那邊領到了『單點射擊』。"""
favs_present_060#0,"""從魯貝爾特那邊領到了『霰彈射擊』。"""
favs_present_070#0,"""從魯貝爾特那邊領到了『合成器』。"""
favs_present_080#0,"""從魯貝爾特那邊領到了『匍匐射擊』。"""
favs_present_090#0,"""從魯貝爾特那邊領到了『光輪之雨』。"""
favs_present_100#0,"""從魯貝爾特那邊領到了『平行滑射』。"""
favs_present_010#1,"""ルベルトから『シンセサイザー』を受け取りました。"""
favs_present_020#1,"""ルベルトから『ホーミングエミッション』を受け取りました。"""
favs_present_030#1,"""ルベルトから『インパクトスライダー』を受け取りました。"""
favs_present_040#1,"""ルベルトから『シンセサイザー』を受け取りました。"""
favs_present_050#1,"""ルベルトから『ワンポイント』を受け取りました。"""
favs_present_060#1,"""ルベルトから『ディフューズシェル』を受け取りました。"""
favs_present_070#1,"""ルベルトから『シンセサイザー』を受け取りました。"""
favs_present_080#1,"""ルベルトから『スニークシューター』を受け取りました。"""
favs_present_090#1,"""ルベルトから『グローリーレイン』を受け取りました。"""
favs_present_100#1,"""ルベルトから『パラレルスライダー』を受け取りました。"""
11_voice_NPC_5063_100#2,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#3,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#4,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#5,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#6,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#7,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#8,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#9,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#10,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#11,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#12,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#13,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#14,"""你好！<br>為了成為優秀的 ARKS，<br>唯有持續精進一途！"""
11_voice_NPC_5063_100#15,"""押忍！<br>立派なアークスになるため<br>精進あるのみです！"""
11_voice_NPC_5063_100#16,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_08_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#17,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_08_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#18,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb9_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#19,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb9_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#20,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb10_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#21,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb10_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#22,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb11_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#23,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb11_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#24,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb12_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#25,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb12_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#26,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb13_020#0,"""我越來越想<br>成為ARKS了！<br>嗚喔喔喔，我要努力！"""
11_voice_NPC_5063_100#27,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb13_020#1,"""自分、ますます<br>アークスになりたくなりました！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#28,"""這裡好多前輩，<br>好刺激啊。"""
Npc63_mb16_020#0,"""我自己必須要<br>更加更加地向上努力才行。<br>嗚喔喔喔，充滿幹勁！"""
11_voice_NPC_5063_100#29,"""ここは先輩たちがいっぱいで<br>刺激的ですね！"""
Npc63_mb16_020#1,"""自分、もっともっと<br>上を目指して頑張らないと！<br>うおおお、やるぞーっ！"""
11_voice_NPC_5063_100#30,"""這裡好多前輩，<br>好刺激啊。"""
