st_063050_0150#0,"""不行。擬態、暴露。<br>即使是參數也偽裝了<br>為什麼呢。"""
st_063050_0160#0,"""如果得到了相當於全知存在的運算能力<br>識破擬態也是可以理解的。"""
st_063050_0170#0,"""我覺得是很棒的進步哦。"""
st_063050_0180#0,"""不愧是我們……<br>光子族創造出來的存在。"""
st_063050_0190#0,"""ARKS的機動武器正在接近。<br>從轉移座標倒推過來的<br>應該是的。"""
st_063050_0200#0,"""呵呵。<br>就是這麼回事嗎。"""
st_063050_0210#0,"""這樣一來、馬上就得意忘形了<br>也完全是他們所產生的<br>愚蠢的樣子。"""
st_063050_0220#0,"""強襲部隊、全軍覆沒……！"""
st_063050_0230#0,"""那個輸出也不夠嗎……<br>……命令全機返航！"""
st_063050_0240#0,"""是！<br>全機返航！<br>重複、全機返航！"""
st_063050_0250#0,"""哎呀、又是你追我趕嗎？<br>……也差不多、捉鬼的任務<br>也已經厭煩了。"""
