text01001#0,"""こんにちはっ！<br>今年もやってきたね、長雨の時季！"""
11_voice_NPC_5096_100#0,"""もちろん、ジメジメに負けずに<br>元気いっぱい頑張らないとね！"""
text01003#0,"""そんなわけで、今回もいろいろと<br>協力してほしいことがあるんだけど<br>話を聞いてくれると嬉しいな！"""
11_voice_NPC_5096_104#0,"""雨が続くと、やっぱり晴れ間が<br>恋しくなっちゃうよねー！"""
11_voice_NPC_5096_100#1,"""今回も気になることはたーくさん！<br>気になりだすと、止まらないよね！"""
text02022#0,"""調べたいことはいっぱいなの！<br>だから貴方の協力が必要なんだ！"""
11_voice_NPC_5096_104#1,"""いやー、森林火災の危機だったね！<br>まさかこんなことになるとは<br>思わなかったもん！"""
text03002#0,"""でもでも、今回も貴方のおかげで<br>ちゃんと解決できたよ！"""
11_voice_NPC_5096_100#2,"""感謝してもしきれないよ！<br>ほんっとーにありがとね！"""
text01001#1,"""こんにちはっ！<br>今年もやってきたね、長雨の季節！"""
11_voice_NPC_5096_104#2,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
