name_7445#0,"""아난"""
ssn_015500_0001#0,"""스티아는 지내기 힘든 곳이야.<br>덥고, 에너미는 강하고."""
ssn_015500_0002#0,"""그래서 식재료 확보 만으로도<br>엄청 고생해야 해……."""
ssn_015500_0101#0,"""있잖아, 넌 스티아에서<br>식재 구해 본 적 있어?"""
ssn_015500_0102#0,"""혹시 그런 일에 익숙해졌으면,<br>맡기고 싶은 일이 있거든."""
ssn_015500_0201#0,"""가져와 줄 건“맛타 스티라야도가리”랑,<br>“샷키 스티라옥토바”야."""
ssn_015500_0202#0,"""둘 다 스티아 외연부에서<br>찾을 수 있대."""
ssn_015500_0203#0,"""잘 부탁해~!"""
ssn_015500_0301#0,"""그렇구나…….<br>알았어."""
ssn_015500_0302#0,"""나중에라도 좋으니 얘기해 줘.<br>한가할 때여도 되니까."""
ssn_015500_0401#0,"""“맛타 스티라야도가리”랑<br>“샷키 스티라옥토바”, 가져와 준 거야?"""
ssn_015500_0402#0,"""5개 정도면 될 것 같은데."""
ssn_015500_0501#0,"""가져온 소재를 넘기기"""
ssn_015500_0502#0,"""그만두기"""
ssn_015500_0601#0,"""고마워~!<br>우와, 모두 품질 좋은 것들이네!"""
ssn_015500_0602#0,"""이런 양품들을 받았으니까<br>나도 열심히 메뉴를 짜야지."""
ssn_015500_0603#0,"""……사실 여기 대원들은<br>식사에 관심 없는 사람들이 많거든."""
ssn_015500_0604#0,"""매번 퀵 푸드같은<br>휴대식만 먹곤 해."""
ssn_015500_0605#0,"""전투가 심해지면<br>그 쪽이 효율이 더 좋긴 하지만."""
ssn_015500_0606#0,"""하다못해 캠프에 있을 땐<br>제대로 된 요리를 내주고 싶거든."""
ssn_015500_0607#0,"""밥이 맛 없으면<br>온종일 기운 없기 마련이잖아."""
ssn_015500_0608#0,"""그러니까 더 맛있는 메뉴를 만들어서,<br>사람들에게 식사가 즐겁다는 걸 떠올려 주고 싶어."""
ssn_015500_0609#0,"""괜찮다면 다음에도 협력해줘."""
ssn_015500_0701#0,"""앗, 좀 부족한 것 같아…….<br>미안하지만 전부 모은 뒤에 와줘."""
ssn_015500_0801#0,"""그렇구나…….<br>다 모으면 또 와줘."""
ssn_015500_1001#0,"""너, 혹시<br>지금 시간 돼?"""
ssn_015500_1002#0,"""사실 가져다 줬으면 하는 식재가 또 있거든."""
ssn_015500_1003#0,"""그것만 구하면<br>완벽한 요리를 만들 수 있을 것 같아."""
ssn_015500_1101#0,"""필요한 건“맛타 스티라 고기”랑<br>“삿파 스티라 고기”야."""
ssn_015500_1102#0,"""스티아는 돌즈나 알터즈가 많지만,<br>찾아보면 테임즈도 제대로 있을 거야."""
ssn_015500_1103#0,"""그럼 잘 부탁해~!"""
ssn_015500_1201#0,"""아, 바쁜가 보네……."""
ssn_015500_1202#0,"""네가 시간 날 때면 언제든 괜찮으니까<br>또 말 걸어줘."""
ssn_015500_1301#0,"""아, “맛타 스티라 고기”랑<br>“삿파 스티라 고기”, 가져와 줬어?"""
ssn_015500_1302#0,"""5개 씩 있으면 충분할 거야!"""
ssn_015500_1401#0,"""가져온 소재를 넘기기"""
ssn_015500_1402#0,"""그만두기"""
ssn_015500_1501#0,"""고마워~!<br>이 만큼 있으면 여러 맛을 시험할 수 있겠어."""
ssn_015500_1502#0,"""먼저 받은 식재를 솥에 넣고,<br>그 다음에 적당히 조미료를……."""
ssn_015500_1503#0,"""……응? 표정이 왜 그래?<br>조리법이 안 맞는 것 같아?"""
ssn_015500_1504#0,"""……하긴, 애초에 난 만드는 것보다<br>먹는 쪽 사람이었으니까."""
ssn_015500_1505#0,"""에아리오 타운엔<br>식재료가 풍부해서 좋은 곳이었는데……."""
ssn_015500_1506#0,"""전투단이나<br>후방지원단같은 구분도 애매했어."""
ssn_015500_1507#0,"""다 같이 싸우고,<br>다 같이 밥 짓고, 먹고."""
ssn_015500_1508#0,"""그 때 겪은 걸 잊을 수 없어서<br>지금 이렇게 노력하는 거야."""
ssn_015500_1509#0,"""그러니까, 실패해도 되니까<br>이것저것 시험해 보는 중이야."""
ssn_015500_1510#0,"""다름 사람들도 분명<br>기뻐할 거야."""
ssn_015500_1511#0,"""그러니까, 난 포기하지 않을 거야."""
ssn_015500_1512#0,"""궁극의, 최고의 요리를 만들 그 날까지!"""
ssn_015500_1601#0,"""앗, 좀 부족한 것 같아…….<br>미안하지만 전부 모은 뒤에 와줘."""
ssn_015500_1701#0,"""그렇구나…….<br>다 모으면 또 와줘."""
ssn_015500_1801#0,"""좋은 메뉴를 만들게 되면<br>너도 먹으러 와줘."""
ssn_015500_1802#0,"""어쩌면<br>조~금 힘들지도 모르지만……."""
ssn_015500_1803#0,"""뭐 어때, 기대하고 있으라구!"""
