text01#0,"""ยินดีต้อนรับกลับมา<br>ข้ารู้สึกสบายใจที่เห็นการพัฒนาของท่าน"""
text02#0,"""แต่บางส่วนของข้าก็ยังกังวลในการต่อสู้จริงอยู่<br>หวังว่าข้าจะกังวลผิดนะ"""
text03#0,"""อย่างไรก็ดี ท่านเคยได้ยินชื่อสกิล Sword Gear ไหม? <br>ข้าจะบอกท่านตอนที่ท่านเสร็จทุกอย่างที่นี่"""
11_voice_NPC_5054_100#0,"""ถ้าหมั่นติดต่อกับข้าอยู่สม่ำเสมอแบบนี้<br>ไม่แน่อีกหน่อยเราอาจได้ผู้กู้โลกคนใหม่ก็ได้<br>ไปก่อนล่ะ แล้วเจอกัน !"""
text100#0,"""Sword Gear"""
text101#0,"""เมื่อท่านเรียนสกิล Sword Gear แล้ว<br>แถบ Gear จะปรากฏที่ด้านบนของ Weapon palette<br>โดยแถบ Gear จะเพิ่มขึ้นเมื่อท่านใช้ดาบโจมตี"""
text102#0,"""เมื่อแถบ Gear เพิ่มขึ้นจะขยายรัศมีของการโจมตีด้วย<br>photon moves จะทำให้ท่านได้เปรียบในการต่อสู้<br>โดยแถบ Sword Gear จะลดลงตลอดเวลา<br>จงต่อสู้อย่างต่อเนื่องเพื่อรักษาระดับ"""
text01#1,"""ご苦労だった。<br>引き続き、精進はしているようで<br>一応の安心はできた。"""
text02#1,"""だが私に言わせれば、まだまだ<br>実戦では不安が残るというものだ。<br>いい意味で君に裏切られたい……。"""
text03#1,"""ところでソードギアについて<br>知っているか？<br>君に伝えておこう。"""
11_voice_NPC_5054_100#1,"""君とは定期的に連絡をとりあって<br>この世界を変えていこうじゃないか。<br>ぜひ、また会おう！"""
text100#1,"""『ソードギア』について"""
text101#1,"""ソードのギアシステムについて、説明します。<br><br>スキル「ソードギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br>ソードの攻撃をヒットさせると、ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージが高まるとフォトンアーツの攻撃範囲が広くなり<br>戦闘を有利に進めることができます。<br><br>ソードギアのゲージは時間経過で減少するため、<br>ギアゲージを高めに維持しながら戦うとよいでしょう。"""
