name01#0,"""Afin"""
name01#1,"""アフィン"""
text01#0,"""โอ๊ะ คู่หู ทางนี้ทางนี้ !"""
11_voice_NPC_5003_100#0,"""เหะๆ แย่เลย<br>ถ้าไม่เล่าให้ Shea ฟัง เขาก็ไม่ยอมให้ไปไหนซะที"""
text03#0,"""จะเอาไปทำอะไรงั้นเหรอ? ก็เอาไปเป็นของขวัญน่ะสิ<br>เป็นของขวัญจากทุกคนสำหรับ Shea ที่อุตส่าห์<br>จัดงานปาร์ตี้ให้"""
text04#0,"""เขาต้องลำบากทำอะไรเพื่อพวกเรามา<br>ตลอดเลยจริงมั้ยล่ะ เลยอยากทำเซอไพรส์<br>ตอบแทนให้สักนิดนึง"""
text05#0,"""แล้วคนที่ว่างที่สุดอย่างข้าเลยรับหน้าที่<br>เป็นแม่งานไปหาของมาให้<br>เจ้าเองก็ช่วยชั้นหน่อยแล้วกันนะ คู่หู"""
text01#1,"""おっ、相棒、こっちこっち！"""
11_voice_NPC_5003_100#1,"""へへ、わざわざ悪いな。<br>シーさんには内緒で話を進めないと<br>いけなかったからよ。"""
text03#1,"""何をする気って？\u3000もちろんお礼さ。<br>シーさんにお世話になった連中<br>全員からのお礼のプレゼント。"""
text04#1,"""あのひとにはほんっとーにみんな<br>お世話になりっぱなしでさ、ひとつ<br>サプライズプレゼントをあげたいんだ！"""
text05#1,"""とりあえず一番自由に動けそうな<br>おれが代表して、素材収集ってわけ。<br>なっ、相棒、お前も手伝ってくれよ。"""
