un_012170_0010#0,"""……ふーんふふーん。<br>（鼻歌。主題歌があればそれ）"""
un_012170_0020#0,"""ん？\u3000……え、あれ、えっ？<br>もしかして、あたしに<br>話しかけてきてる？"""
un_012170_0030#0,"""え、あわっ、いやっ<br>ちょ、ちょっと待って待って！"""
un_012170_0040#0,"""なんで、あっれぇー？"""
un_012170_0050#0,"""……まあ、見つかっちゃったら<br>仕方がないわね。"""
un_012170_0060#0,"""で、何にサインして欲しいの？"""
un_012170_0070#0,"""……は？\u3000サインが目的じゃない？<br>じゃあなんで、このあたしに<br>話しかけてきたのよ！"""
un_012170_0080#0,"""泣く子も大喜び、話題沸騰のアイドル！<br>クーナとは……"""
un_012170_0090#0,"""……って、まさか知らないの！？"""
un_012170_0100#0,"""はー……知ってるような<br>知らないような的な反応は<br>逆に傷つくからやめてよねー？"""
un_012170_0110#0,"""まっ、あなた以外は気付いてないし<br>あたしは暫くお忍びで楽しみたいし<br>このことは内緒でヨロシクね！"""
un_012170_0120#0,"""そのかわり、いつでも好きな時に<br>サインを書いてあげる権利を<br>プレゼント！\u3000一度だけね！"""
un_012170_0130#0,"""A.P.238/4/2"""
