Title#0,"""禍魂集いし戦道２０１９"""
Explanation#0,"""惑星ハルコタン、黒ノ領域上空にて<br>ただならぬ妖力の集中が観測された。<br>妖力の影響か、空には巨大な満月が浮かび<br>現地のエネミーは、危険な狂乱状態に<br>陥っているとの報告も入っている。<br>アークス各員は直ちに出動し<br>調査と鎮圧にあたれ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過 """
NpcComMsg1#0,"""まもなく現地への転送を開始します。<br>今回の目的は、妖力に関する調査と<br>凶暴化したエネミーの鎮圧です。"""
NpcComMsg2#0,"""上空に見える巨大な赤い月は<br>集中した妖力が形作っているようで<br>あれが、異変の原因のようです。"""
NpcComMsg3#0,"""この先、多くの危険がつきまとう<br>激しい戦闘が予想されます。<br>みなさん、どうかお気を付けて！"""
SimpleExplanation#0,"""最深部を目指せ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
