name01#0,"""ヒルダ"""
name02#0,"""武器の切り替え"""
11_voice_navi02_123#0,"""……最後に、<br>武器の装備と変更についても<br>話をしておこう。"""
11_voice_navi02_124#0,"""では、今の要領で<br>武器を切り替えてみろ。"""
text00#0,"""『武器の切り替え方法』について"""
text01#0,"""チュートリアル<br>『武器の切り替え方法』について説明します。"""
text02#0,"""<yellow>武器パレット<c>に複数の武器を登録しておき、<br>切り替えて使うことができます。<br><br>武器パレットの切り替えは<br><br>上方向：<%PaletteReverse><br>下方向：<%PaletteForce><br><br>で行い、<%Decide>で決定します。"""
text03#0,"""<yellow>武器パレット<c>に複数の武器を登録しておき、<br>切り替えて使うことができます。<br><br>武器パレットの切り替えは<br><br>上方向：<%PaletteReverse><br>下方向：<%PaletteForce><br><br>で行い、<%Decide>で決定します。"""
text05#0,"""試験生は武器パレットの装備を切り替え、<br>実際に使用してみましょう。"""
text100#0,"""<%PaletteReverse>、<%PaletteForce>で選択し、<%Decide>で切り替えろ！"""
text1000#0,"""<%PaletteReverse><%PaletteForce>で選択<%Access>で決定！"""
text1001#0,"""<%PaletteReverse>、<%PaletteForce>で選択し、<%Decide>で切り替えろ！"""
text201#0,"""装備を切り替えろ！"""
text202#0,"""装備を切り替えろ！"""
text203#0,"""武器パレット選択：<%PaletteReverse>、<%PaletteForce><br>武器パレット切り替え：<%Decide>"""
text204#0,"""武器パレット選択：<%PaletteReverse>、<%PaletteForce><br>武器パレット切り替え：<%Decide>"""
