un_020050_0010#0,"""ว่าไง เจ้าเองรึ<br>เมื่อเร็วๆ นี้มี ARKSจำลองปรากฎตัว<br>ออกมาจึงทำให้ทุกคนสับสนสินะ"""
un_020050_0020#0,"""เจ้าไม่เป็นอะไรใช่รึเปล่า?<br>คงจะเข้าใจสินะว่าไม่จำเป็น<br>ต้องลังเล?"""
un_020050_0030#0,"""ไม่ว่ามันจะเหมือนกับอะไรแต่ถ้ามันส่ง<br>ผลร้ายต่อโลกก็มีแต่ต้องกำจัดมันเท่านั้น<br>เหมือนกับการลงโทษอาชญากรนั่นแหละ"""
un_020050_0040#0,"""ขืนพูดว่าเพราะเป็นร่างคนก็เลยกำจัดไม่ได้<br>มีหวัง D-arkers ก็คงได้เลียนแบบร่าง<br>เป็นคนแล้วก็บุกรุกเข้ามาแน่"""
un_020050_0050#0,"""การคิดที่จะมองย้อนหลังหรือเสียใจน่ะ<br>ไม่ว่าจะยังไงก็ควรจะเอาไว้ทีหลัง"""
un_020050_0060#0,"""พวกเราน่ะไม่ได้เก่งกาจขนาดที่<br>สู้ไปพลางกลุ้มใจไปพลาง ไม่สิ<br>กลุ้มใจไปพลางสู้ไปพลางได้หรอกนะ"""
un_020050_0070#0,"""ใช่ สมัยที่ข้ายังหนุ่มข้าอยู่ในสถานการณ์<br>ที่กอดความกลุ้มใจเป็นร้อยอยู่เสมอ......"""
un_020050_0010#1,"""やあ、君か。<br>最近アークスの模倣体が出現し<br>皆を惑わせているようだな。"""
un_020050_0020#1,"""君は、大丈夫か？<br>戸惑う必要はないということを<br>わかっているな？"""
un_020050_0030#1,"""何に似ていようとも、それが世界に<br>害なすのであれば倒すしかないだろう。<br>犯罪者が裁かれるように、だ。"""
un_020050_0040#1,"""人の形をしているから倒せないと言えば<br>ダーカーはこぞって人の形を模倣し<br>制圧してくるぞ。"""
un_020050_0050#1,"""振り返り、後悔し、考えることは<br>万難を排した後でいいのだ。"""
un_020050_0060#1,"""戦いながら悩めるほど<br>いや、悩みながら戦えるほど<br>我々は器用ではない。"""
un_020050_0070#1,"""そう、私の若い頃は悩みなど<br>常に百ほど抱えた状態で…………"""
