name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_100#0,"""โอ! ถึงเวลาในการฝึก Rifle แล้วเหรอ?"""
text02#0,"""ข้าอาจจะเคยบอกว่า Rifle เหมาะสำหรับทุกระยะทาง <br>แต่เนื่องจาก Ranger ไม่ใช่คลาสที่แข็งแกร่งมาก...<br>ถ้าเป็นข้า ข้าจะรักษาระยะระหว่างตัวเองกับเป้าหมาย"""
text03#0,"""โอ ข้าจะบอกวิธีเล็งใส่เป้าหมายก่อนที่จะเริ่มต้น"""
text04#0,"""โอเค โอเค ลองไปต่อสู้ดู แต่อย่าตายล่ะ"""
text100#0,"""มุมกล้องระดับไหล่"""
text101#0,"""มุมกล้องระดับไหล่คือโหมดมุมกล้องพิเศษสำหรับผู้ที่ใช้อาวุธระยะไกล<br>จงใช้มันเมื่อท่านต้องการความแม่นยำในการโจมตี"""
text102#0,"""กดปุ่ม <%ChangeView> เพื่อเปลี่ยนมุมมองกล้อง<br><br>ใช้เมาส์เพื่อเลื่อนเคอร์เซอร์"""
text103#0,"""กดปุ่ม <%ChangeView> เพื่อเปลี่ยนมุมมองกล้อง<br><br>ใช้จอยขวาเพื่อเลื่อนเคอเซอร์"""
text104#0,"""ในการกลับไปที่มุมมองก่อนหน้า ให้กดปุ่ม <%ChangeView> อีกครั้ง<br><br>มุมกล้องระดับไหล่จำเป็นมากถ้าท่านต้องการความแม่นยำในการโจมตีระยะไกล"""
11_voice_NPC_5026_100#1,"""あらあらあ？\u3000アサルトライフルの<br>練習、やってみちゃうんですかあ？"""
text02#1,"""全距離対応とは言いましたが<br>レンジャーはあんまりカタくないです。<br>距離をとって戦ってくださいねえ。"""
text03#1,"""そうだ！<br>練習を始める前に敵さんの狙い方を<br>説明しますねえ。"""
text04#1,"""ではでは、死なない程度に<br>殺してきちゃってくださいねえ。"""
text100#1,"""『肩越し視点』について"""
text101#1,"""『肩越し視点』について説明します。<br><br>肩越し視点は、より精密な攻撃を行いたい場合等<br>射撃武器を想定した専用の視点モードです。"""
text102#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、マウス操作で動かすことができます。"""
text103#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、右スティックで動かすことができます。"""
text104#1,"""元の視点に戻すには、もう一度<%ChangeView>を入力します。<br><br>肩越し視点は、より精密な射撃攻撃などを行う上で<br>非常に重要になります。"""
