st_061130_0350#0,"""……真是漂亮的收場。<br>這個、比想像<br>中的要棘手。"""
st_061130_0360#0,"""好好忍耐了呢、你們倆個。"""
st_061130_0370#0,"""因為主人看起來很開心。"""
st_061130_0380#0,"""放跑、好嗎？"""
st_061130_0390#0,"""不管塵埃如何飛舞<br>都無所謂吧？"""
st_061130_0400#0,"""但是、我好像<br>被避開了很多<br>沒能得分呢。"""
st_061130_0410#0,"""……他們的對手、效率低下。<br>積分比賽由瓦爾納獲勝。"""
st_061130_0420#0,"""只是這邊灰塵多而已。"""
st_061130_0430#0,"""那麼、作為獎賞<br>追擊就交給瓦爾納吧。"""
st_061130_0440#0,"""……我明白了。"""
st_061130_0450#0,"""我看家吧。遺憾。"""
st_061130_0460#0,"""不久的將來<br>你也會行動起來的、米拉。"""
st_061130_0470#0,"""不管怎麼說、掃除<br>總是很花時間的。"""
