Title#0,"""逢魔に誘う幻惑の森"""
Explanation#0,"""異世界オメガ、クエントとヴェルンの<br>国境付近に突如、大きな森が出現しました。<br>森の出現に巻き込まれた人々を助けるため<br>ハリエットさんが森に向かったようです！<br>森の中からはダークファルスに似た反応も<br>観測されており、危険です！<br>ハリエットさんの救出に向かってください！<br>――――――――――――――――――――<br>最深部に出現するエネミーの撃破でクリア"""
SimpleExplanation#0,"""ハリエットを救出せよ！"""
NpcComMsg1#0,"""転送装置の起動を確認しました。<br>今回の目的は、幻惑の森に向かった<br>ハリエットさんの救出です。"""
NpcComMsg2#0,"""最深部では、ダークファルスに似た<br>反応も検知されているため<br>ダーカーの出現が予想されます。"""
NpcComMsg3#0,"""薄暗く不気味な森の中です。<br>思わぬところから襲撃される可能性も<br>ありますので、ご注意を！"""
Area1S#0,"""森の廃城"""
Area1L#0,"""森の廃城"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
