Title#0,"""討伐磁穿龍"""
Explanation#0,"""在位於安杜斯奇亞行星地殼的火山洞窟中，<br>最近頻頻發生ARKS受狂暴化龍族襲擊<br>的意外。<br>報告指出似乎是貼著地面爬行的巨大龍族<br>請迅速進行應對措施。<br>此次委託的目的為與被稱磁穿龍的特殊龍族<br>交戰，並取得資料。<br><br>――――――――――――――――――――<br>失敗條件/在最深處敗北"""
Title#1,"""キャタドラン討伐"""
Explanation#1,"""惑星アムドゥスキア地殻部、火山洞窟にて<br>アークスが狂った龍族に襲われる事例が<br>多発している。<br>地を這うような巨大な龍族との報告があり<br>対策が急務となっている。<br>キャタドランと呼称されるこの特殊な龍族と<br>交戦し、データを入手してきて欲しい。<br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""討伐磁穿龍！"""
SimpleExplanation#1,"""キャタドランを討伐せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
