un_013100_0010#0,"""แหมแหม สวัสดีค่า!<br>คิกคิก มาทักทายให้สดใส<br>ร่าเริงยิ่งกว่านี้กันเถอะค่า!"""
un_013100_0020#0,"""แต่จะยังไงก็เถอะ งานเทศกาลค่ะ!<br>นานแล้วนะคะที่ไม่มีงานชุมนุมสังสรรค์แบบนี้"""
un_013100_0030#0,"""Risa ล่ะช๊อบชอบงานเทศกาลค่ะ<br>ก็เพราะก็เพราะ ถ้าเป็นงานเทศกาลล่ะก็<br>จะไม่มีใครโกรธกับเรื่องเล็กน้อยค่ะ"""
un_013100_0040#0,"""เพราะเป็นงานเทศกาลดังนั้นไม่ว่าจะทำ<br>อะไรทุกคนก็จะยกโทษให้ เราสามารถ<br>ทำอะไรได้ตามใจชอบเลยล่ะค่า คิกคิก"""
un_013100_0050#0,"""เพราะอย่างนี้แหละ Risa ถึงชอบงานเทศกาล<br>ชอบหลักเกณฑ์ที่เรียกว่างานเทศกาลค่ะ"""
un_013100_0060#0,"""เบื้องหลังจะมีความหมายอะไร<br>เป้าหมายที่แท้จริงคืออะไร<br>ทั้งหมดนั่นชั้นไม่สนใจหรอกค่ะ"""
un_013100_0070#0,"""Risa น่ะนะ ขอแค่ตัว Risa ได้สนุก<br>เท่านั้นก็พอแล้วล่ะค่ะ"""
un_013100_0080#0,"""เพราะฉะนั้นคุณกับ Risa ก็มาสนุก<br>ร่วมกันด้วยกันให้มากๆ นะคะ"""
un_013100_0010#1,"""あらあら、こんにちわあ！<br>ふふっ、もっと元気よく挨拶<br>しましょうよお！"""
un_013100_0020#1,"""なんといっても、お祭りですよ！<br>久々ですねえ、こういう催しものは。"""
un_013100_0030#1,"""リサはお祭り騒ぎ、大好きです。<br>だってだって、お祭りなら細かいことで<br>怒る人もいませんからねえ。"""
un_013100_0040#1,"""何をしても、お祭りだから、という<br>いいわけで許してくれますから<br>やりたい放題ですよお。ふふっ。"""
un_013100_0050#1,"""だから、リサはお祭り大好きです。<br>お祭りという建前が大好きですねえ。"""
un_013100_0060#1,"""その裏に込められた意味とか<br>真の狙いとかそーいうのは<br>もうほんとにどうでもいいです。"""
un_013100_0070#1,"""リサはですねえ、リサが楽しめれば<br>それだけでいいんですよお。"""
un_013100_0080#1,"""だからあなたもリサと一緒に<br>いっぱいいっぱい楽しみましょうねえ。"""
