name_7428#0,"""ユーリ"""
ssn_014771_0101#0,"""うんうん。<br>それじゃあ、教えちゃうね。"""
ssn_014771_0102#0,"""レイヨルド峡江は、<br>クヴァリスのなかで、特に寒い場所なんだ。"""
ssn_014771_0103#0,"""ラトヴァ山から冷たい風が吹き降ろされて、<br>あの窪地に冷気だまりを作ってるんだって。"""
ssn_014771_0104#0,"""ちゃんと防寒しないで行ったりしたら、<br>どんどん体力を奪われて、最後は氷漬けになっちゃうかもね。"""
ssn_014771_0105#0,"""で、じゃあどうすりゃいいんだって話だけど……。"""
ssn_014771_0106#0,"""ずばり“リージョンマグ”に頼ることなんだ！"""
ssn_014771_0107#0,"""クヴァリスにあるリージョンマグは、少し特殊でね。"""
ssn_014771_0108#0,"""アイテムをあげると、<br>寒さに対して強くなるご利益があるんだ。"""
ssn_014771_0109#0,"""リージョンマグって不思議だよね。<br>もしかしたら、みんなの気のせいかもしれないけど……。"""
ssn_014771_0110#0,"""西クヴァリスに行ってみて試してみなよ。<br>それじゃ、がんばってねー！"""
