st_042070_0001#0,"""A.D.2028/3/25/12:00"""
st_042070_0010#0,"""哈啊啊啊啊啊……<br>阿有弟弟真是好可愛呀啊啊……！<br>小小的一只太可愛太可愛了啦……！"""
st_042070_0020#0,"""你還在看前段時間去買衣服時候的照片啊？<br>……冰莉，真沒想到原來有這種興趣。"""
st_042070_0030#0,"""不、不是啦不是啦－－<br>只要看到了可愛的東西<br>不論是誰都會變成這樣的啦。"""
st_042070_0040#0,"""就連火継你，別看現在是這副樣子<br>之前不也在和可愛的阿有弟弟<br>待在一間房裡，同吃同住嘛？"""
st_042070_0050#0,"""真好啊，真好啊－－<br>你們有沒有發生過什麼呀－－？<br>比如偷襲或者被偷襲之類的，嗚呼呼呼－－……"""
st_042070_0060#0,"""……我甚至都覺得，光是讓我看清了你的本性<br>阿有來我這兒就算是有意義了。"""
st_042070_0070#0,"""不過啊，火継。<br>阿有弟弟的事情，你打算怎麼處理？<br>學校的宿舍，外人也能住嗎？"""
st_042070_0080#0,"""唔－－，總之在春假這段時間<br>我打算就當成弟弟混過去。"""
st_042070_0090#0,"""啊，對哦。<br>這裡的宿舍，倒是會認可親戚來借住呢。"""
st_042070_0100#0,"""我和阿有看著像不像是親戚，這還是個問題<br>不過，最壞也就是用學生會，或者說是聖母星團的權限<br>去打個馬虎眼就行了吧。"""
st_042070_0110#0,"""哼哼哼，聖母這藉口還真是好用呢。"""
st_042070_0120#0,"""啊啊……真的好可愛……！<br>就像是PSO2裡面的火継<br>跑出來找我了似的……！"""
st_042070_0130#0,"""……你都沒注意到<br>你剛才那發言超危險的麼？<br>算啦，也無所謂吧。"""
st_042070_0140#0,"""好了，冰莉。<br>你等會再欣賞你那照片去。<br>趕緊好好查一查PSO2的事情。"""
st_042070_0150#0,"""我當然有在好好查啦。<br>但是，應該和火継你查到的資料<br>內容都差不多才對。"""
st_042070_0160#0,"""在2016年，也就是距今12年前<br>人們發現了情報粒子『以太』。這一物質可以不需要媒介<br>而沒有任何延遲地進行信息通訊。"""
st_042070_0170#0,"""以它為基礎構築而成的以太設施<br>在全世界引發了信息技術革命。<br>由以太作為標準，整個世界的規則都得到了重新改寫。"""
st_042070_0180#0,"""同時，以太的發現者，製作出了使用以太通訊的<br>次時代雲端操作系統『ESC-A』<br>並在各國協助下，建設了『ESC-A塔』。"""
st_042070_0190#0,"""隨著ESC-A塔的普及，<br>以太通訊與其專用操作系統ESC-A，得以推廣到了全世界。<br>整個世界的信息技術環境，都得到了統一。"""
st_042070_0200#0,"""在『ESC-A』中，也預裝了<br>用於導入與控制以太的APP。<br>而其中之一，就是PSO2。"""
st_042070_0210#0,"""上面還說，它是個為了能讓年輕人親身體會到<br>以太的便利性與通訊速度<br>而設計成了遊戲形式的指引型APP呢。"""
st_042070_0220#0,"""到此為止，都是些公之於眾的信息。"""
st_042070_0230#0,"""……可是以太技術現在仍在發展過程中。<br>聖母和我們說過，『ESC-A』之中<br>還潛伏著BUG。"""
st_042070_0240#0,"""正因如此，像我們這些被選中的人們……<br>也就是『聖母星團』的所屬人員，才會進入到以太設施<br>……進入到PSO2中，進行調查。"""
st_042070_0250#0,"""這是只有我們才能做到的事情。<br>能進入到PSO2中的<br>也只有所屬於『聖母星團』的我們。"""
st_042070_0260#0,"""……而這些，就是內部的信息。<br>對一般人都是保密的。"""
st_042070_0270#0,"""……不行啊，寫的都是些早就知道的內容。<br>就沒有出現過我這種事情的人嗎？"""
st_042070_0280#0,"""啊哈哈……從PSO2裡面帶個人回來<br>會不會火継你就是第一個呀？"""
st_042070_0290#0,"""不過，既然發生了這樣的事情<br>那也就表示，聖母說得沒錯<br>確實有什麼BUG潛伏其中吧。"""
st_042070_0300#0,"""雖說，就連這事究竟是不是BUG引起的<br>目前都毫無頭緒就是了……"""
st_042070_0310#0,"""恩？這個情報……<br>“讓人以為是NPC從PSO2中跑出來了”……<br>……什麼嘛，原來是粉絲節上的cosplay啊。"""
st_042070_0320#0,"""這是之前那個<br>PSO2玩家的失蹤事件……不對。<br>這個也不對，那個也不對……"""
st_042070_0330#0,"""啊對了。<br>火継，有個很簡單的方法哦。<br>這是個能把所有事情，一下子全都解決掉的方法。"""
st_042070_0340#0,"""欸？"""
st_042070_0350#0,"""去問聖母不就好了嘛。<br>聖母她肯定什麼都知道的呀。"""
st_042070_0360#0,"""對啊對啊。<br>為什麼我們就沒注意到<br>這麼簡單的事情啊？"""
st_042070_0370#0,"""你等等哦，我馬上聯絡她。"""
st_042070_0380#0,"""等、等等！"""
st_042070_0390#0,"""……火継？<br>怎麼了？為什麼要阻止我？<br>只要問問聖母就肯定能解決的呀？"""
st_042070_0400#0,"""讓我們去調查PSO2，就是聖母拜託的<br>而要是在裡面出了什麼事<br>那去報告給聖母就是最妥當的呀。你不覺得嗎？"""
st_042070_0410#0,"""你說的我知道……<br>但是……抱歉，你再等等。"""
st_042070_0420#0,"""我想正式一點地去和聖母報告。<br>不管是阿有的事情，還是PSO2的事情<br>我都想靠自己好好調查一番之後，再做報告。"""
st_042070_0430#0,"""我會在春假結束之前報告的<br>所以現在，就先等等。"""
st_042070_0440#0,"""…………恩，我知道了。"""
st_042070_0450#0,"""我相信火継你說的，<br>而且既然火継都這麼說了<br>那肯定這麼做是最正確的啦。"""
st_042070_0460#0,"""不過，火継你要是真的感到為難<br>那就去好好跟聖母聊聊哦。<br>聖母她一定會伸出援手的。"""
st_042070_0470#0,"""當然啦。"""
st_042070_0480#0,"""預裝在次時代雲端操作系統<br>『ESC-A』中的遊戲，PSO2。"""
st_042070_0490#0,"""存在於其中的人們<br>有著難以想象是AI會有的精細舉動。"""
st_042070_0500#0,"""而為了調查詳細情況而被選中的人們……<br>也就是我們『聖母星團』<br>則進入了以太之中，進行了調查。"""
st_042070_0510#0,"""那畢竟有可能是BUG……<br>要是放任不管，沒準是會威脅到『ESC-A』的……"""
st_042070_0520#0,"""……畢竟聖母她，都這麼說了。"""
st_042070_0530#0,"""要是不靠自己的力量前進，就什麼都看不見。<br>什麼都得知不了，也什麼都不會明白。"""
st_042070_0540#0,"""……看來，只有再去一次才行了啊。"""
st_042070_0550#0,"""雪拉你好像是BUG哦？"""
st_042070_0560#0,"""遊戲中的世界？"""
st_042070_0570#0,"""不不，她那也在指<br><%me>您哦！"""
st_042070_0580#0,"""可話說回來，他們就沒發現<br>自己並不是進入了遊戲或者設施<br>而是來到了別的世界麼？"""
st_042070_0590#0,"""……她們之前也有提到過吧？<br>說我們這邊的世界<br>是在遊戲裡面，還說有BUG什麼的。"""
st_042070_0600#0,"""……火継小姐她們就沒發現<br>自己來到了別的世界麼？"""
st_042070_0610#0,"""這一點，就連從數據上看都是一目了然的。<br>可即便如此，她們卻還是一直被蒙在鼓裡……"""
st_042070_0620#0,"""興許是這個叫『聖母』的存在所說的話<br>有足以這麼相信的可信力吧。"""
st_042070_0630#0,"""要是比作我們ARKS的話……<br>會不會就像是曾經的錫安那樣？"""
st_042070_0640#0,"""等等，比起這個，火継小姐她<br>剛才是不是說要再來一趟這邊來著？<br>哇哇，不妙不妙，得趕緊準備一下才行。"""
st_042070_0650#0,"""<%me>。<br>我們像這樣偷窺她這件事<br>還請您千萬、千萬要保密哦。"""
