text00#0,"""ごきげんよう。<br>どのようなご用件でしょうか？"""
text01#0,"""『チャレンジブロック』について"""
text02#0,"""『チャレンジクエスト』について"""
text03#0,"""『共通シップ』について"""
text04#0,"""『チャレンジ中のアドバイスをお願いする』"""
text05#0,"""『チャレンジ中のアドバイスをやめてもらう』"""
text06#0,"""この場を離れる"""
text07#0,"""『アイテムの受け渡し』について"""
11_voice_challe_ope_001#0,"""チャレンジブロックについてですね。<br>説明が長くなりますので<br>まずはこちらをご覧ください。"""
text01#1,"""要約しますと<c bb0000>装備やクラスレベルなどが<br>一時的に変化しますが、元のブロックに<br>移動すれば元に戻る<c>ということです。"""
text02#1,"""訓練の都合上、強制的にクラスも<br>チャレンジャーに変更しておりますが<br>一時的なものですのでご安心ください。"""
11_voice_challe_ope_001#1,"""チャレンジクエストについてですね。<br>説明が長くなりますので<br>まずはこちらをご覧ください。"""
text01#2,"""要約しますと、<c bb0000>統一された環境下で<br>状況に応じた対応を訓練する<br>クエスト<c>ということです。"""
text02#2,"""ＶＲエネルギーを切らさずに<br>どこまで突破できるか。<br>あなたの真の力量が試されます。"""
text03#1,"""距離に応じて付与される<br>チャレンジマイルは、元のブロックで<br>報酬と交換を行うことができます。"""
11_voice_challe_ope_001#2,"""共通シップについてですね。<br>説明が長くなりますので<br>まずはこちらをご覧ください。"""
text01#3,"""要約しますと<c bb0000>所属のシップ以外の人と<br>交流できるシップ<c>ということです。"""
text02#3,"""共通シップは全てチャレンジブロックで<br>構成されているため、受注可能なのは<br>チャレンジクエストのみです。"""
text00#1,"""はい、承りました。<br>チャレンジ中のアドバイスを<br>行うように致します。"""
text01#4,"""アドバイスが不要になりましたら<br>お気軽に声をおかけください。"""
text00#2,"""はい、承りました。<br>チャレンジ中のアドバイスを<br>行わないように致します。"""
text01#5,"""ですが、重要な箇所に関しては<br>今までどおりご案内致しますので<br>ご了承ください。"""
text02#4,"""また、アドバイスが必要になりましたら<br>お気軽に声をおかけください。"""
11_voice_challe_ope_001#3,"""アイテムの受け渡しについてですね。<br>説明が長くなりますので<br>まずはこちらをご覧ください。"""
text01#6,"""要約しますと<c bb0000>自分の所持品を<br>フィールドに置いて、他のプレイヤーに<br>渡すことができる<c>ということです。"""
text02#5,"""チャレンジクエストにおいては<br>武器やユニットを置いて受け渡すことが<br>可能となっています。ご活用ください。"""
text00#3,"""『チャレンジブロック』について"""
text01#7,"""『チャレンジブロック』について説明します。<br><br>チャレンジブロックはチャレンジクエストを<br>受注する為のブロックとなります。<br><br>チャレンジブロックでは統一された環境下での<br>訓練を行うため、<red>プレイヤーのレベル、<br>所持品が一時的に制限<c>されています。<br><br>クライアントオーダーやマターボード等<br>一部機能の使用も制限されていますが、<br>チャレンジブロック外へ行けば<br>元に戻りますのでご安心下さい。"""
text02#6,"""チャレンジブロックも他のブロック同様<br>クエストカウンターから<br>クエストの受注が可能です。<br><br>また、テレポーターから<br>他のチャレンジブロックや<br>元のブロックに移動することも出来ます。"""
text03#2,"""『チャレンジモニュメント』について<br>説明します。<br><br>チャレンジブロック内の<br>チャレンジモニュメントにアクセスすることで<br>チャレンジクエストのランキングを<br>閲覧することが出来ます。<br><br>ナンバー1を目指して<br>チャレンジクエストに挑みましょう。<br><br>※ランキングは一定期間でリセットされます"""
text00#4,"""『チャレンジクエスト』について"""
