text01#0,"""การใช้อาวุธให้มีประสิทธิภาพนั้น<br>ท่านต้องฝึกฝนทุกวัน ยิ่งท่านฝึกมากเท่าไหร่<br>ท่านยิ่งพัฒนามากขึ้นเท่านั้น"""
text02#0,"""ท่านอาจจะเหนื่อยในตอนแรก<br>แต่ยิ่งท่านผ่าน Boot Camp มากเท่าไหร่<br>ท่านจะยิ่งสนุกสนานไปกับการฝึกมากเท่านั้น"""
11_voice_NPC_5057_100#0,"""มือใหม่แบบท่าน ข้าเคยสอนมานักต่อนักแล้ว<br>เพราะฉะนั้นวางใจได้เลย"""
text100#0,"""Twin Machine Guns Gear"""
text101#0,"""Twin Machine Guns จะมี Gear Gaguge แสดงเหนือ Palette หลัก<br>โดยค่า Gauge จะเพิ่มขึ้นเมื่อท่านโจมตีด้วย Twin<br> Machine Guns."""
text102#0,"""ในขณะที่ Gear Gauge เพิ่มขึ้น ท่านจะมีพลังโจมตีสูงขึ้น<br><br>โดย Gauge จะลดลงตลอดเวลา ท่านต้องโจมตีต่อเนื่องเพื่อรักษาระดับ <br>และมันจะลดลงเหลือ 0 ทันทีถ้าท่านได้รับความเสียหายจากการโจมตี"""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ツインマシンガンギア』について"""
text101#1,"""ツインマシンガンのギアシステムについて、説明します。<br><br>スキル「ツインマシンガンギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ツインマシンガンの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージが高まると攻撃力が上昇します。<br><br>ツインマシンガンギアのゲージは時間経過で減少するので<br>攻撃しつづけるのが良いでしょう。<br>また、ダメージを受けるとゲージが減少し、<br>ダウンするとゲージが無くなるので、注意しましょう。"""
