11_voice_NPC_5020_104#0,"""มันเป็นธรรมชาติของ Hunter ที่จะพัฒนา<br>ความสามารถโดยการทำงานร่วมกัน"""
text02#0,"""การร่วมกันโจมตีอาศัยทีมเวิร์คอย่างใกล้ชิด <br>ซึ่งสามารถเรียนรู้ได้จากประสบการณ์"""
text03#0,"""ข้าถึงอยากให้เจ้ามาร่วมทำภารกิจกับข้า"""
text04#0,"""เราจะลงไปยัง Cauldron ด้วยกัน<br>มันจะเป็นการฝึกทีมเวิร์คที่ดีมาก!"""
text100#0,"""เดินทางร่วมกับ Partner Characters"""
text101#0,"""<yellow>*Client Order นี้ เจ้ามี Oza มันจะง่ายมากขึ้น <br>ถ้าเจ้าตั้งพาสเวิร์ดในเมนู [ใส่ข้อมูลปาร์ติ้] แล้วเลือก <br>[จำกัดการร้องขอจากปาร์ตี้อื่น] เพื่อรับมัน.<c>"""
11_voice_NPC_5020_104#1,"""同じアークスの一員として<br>そしてハンター同士として<br>実力を高め合うのは当然のこと。"""
text02#1,"""こと、連係攻撃というのは<br>互いの呼吸が重要となる。<br>経験でのみ培われるものだ。"""
text03#1,"""もちろん、かくいうオレも<br>まだまだ未熟の身。<br>だからこそ、お前にも協力して欲しい。"""
text04#1,"""共に火山洞窟へと向かい<br>他者との連携行動を練習しないか？"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※オーザを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
