Title#0,"""特別突破訓練：Episode1~4"""
Explanation#0,"""本任務は、VR空間にて行う<br>制限時間内にエリアの最奥を目指す<br>走破型の訓練である。<br>これまでの訓練の集大成と言える<br>難度の高い内容となっている。<br>各員、これまでに培った経験と判断力を<br>最大限活用し、これを突破せよ。<br>――――――――――――――――――――<br>制限時間/２０分<br>最大与ダメージ制限/９９９９９９"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""準備は良いですか？<br>ではこれより、特別訓練プログラム<br>開始します！"""
NpcComMsg2#0,"""これまでの訓練の集大成として<br>とびきり難しくなってますからねー！<br>くれぐれも、油断しないように！"""
NpcComMsg3#0,"""それでは、転送を開始します！<br>頑張ってください！"""
Area0S#0,"""火山洞窟エリア1"""
Area0L#0,"""惑星アムドゥスキア 火山洞窟エリア1"""
Area1S#0,"""採掘基地エリア2"""
Area1L#0,"""惑星リリーパ 採掘基地エリア2"""
Area2S#0,"""白ノ領域・唱結界内エリア3"""
Area2L#0,"""惑星ハルコタン 白ノ領域・唱結界内エリア3"""
Area3S#0,"""月面エリア4"""
Area3L#0,"""衛星・月 月面エリア4"""
Area4S#0,"""幻創園エリア5"""
Area4L#0,"""惑星・地球 幻創園エリア5"""
Area5S#0,"""????"""
Area5L#0,"""????"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
