EventInformation#0,"""舉行中的活動"""
ShipConfrontation#0,"""ARKS戰艦對抗戰"""
PlayerInformation#0,"""你的情報"""
RoundTarget#0,"""現在的回合目標"""
PeriodCovered#0,"""現在的回合期間"""
ObjectRemuneration#0,"""報酬情報"""
TargetStarPoint#0,"""目標達成度　（回合内星星上限）"""
TargetStarBonus#0,"""目標達成獎勵"""
PossessionStar#0,"""持有星星數"""
PossessionStarDeadline#0,"""持有星星有效期限"""
Affiliation#0,"""所屬分組"""
BoostInformation#0,"""現在的增幅情報"""
Grouppoint#0,"""現在的貢獻點數"""
BingoCard#0,"""ARKS冰菓"""
BingoCardNum#0,""" （$(0)）"""
MenuShipConfrontation#0,"""ARKS戰艦對抗戰"""
Rank#0,"""級別"""
Star#0,"""星星（pt）"""
Point#0,"""點數"""
Progression#0,"""進行度"""
Normal#0,"""普通"""
Hard#0,"""困難"""
VeryHard#0,"""非常困難"""
SuperHard#0,"""超級困難"""
StarExpire#0,""" $(0)（有效期限/$(1) $(2))"""
Loading#0,"""連線中..."""
NotPlayMessage#0,"""現在沒有活動。"""
StopMessage#0,"""中斷。"""
CancelMessage#0,"""中止。"""
NotConfirm#0,"""現在沒有情報。"""
ArksRanking#0,"""ARKS聯盟排位賽"""
TotalScoreBoost#0,"""クエスト連動ブースト"""
WebLink#0,"""Web連動イベント"""
RoundInformation#0,"""回合情報"""
RoundSelection#0,"""回合選擇"""
ComprehensiveRanking#0,"""綜合排名"""
RoundDetails#0,"""回合詳情"""
TotalPoint#0,"""累計勝利點數"""
FinalRemuneration#0,"""最終排名報酬"""
RankingInformation#0,"""排名情報"""
QuestRankInfo#0,"""報酬情報"""
FirstPlace#0,"""第1"""
SecondPlace#0,"""第2"""
ThirdPlace#0,"""第3"""
FourthPlace#0,"""第4"""
FifthPlace#0,"""第5"""
RoundTarget#1,"""現在的回合目標"""
PeriodCovered#1,"""現在的回合期間"""
Information#0,"""情報"""
ObjectRemuneration#1,"""毎次達成回合目標所能得到的報酬"""
TargetStarPoint#1,"""目標達成星星數"""
TargetStarBonus#1,"""目標達成獎勵"""
Grouppoint#1,"""貢獻點數上限"""
RoundRanking#0,"""回合排名"""
RankingRemuneration#0,"""排名報酬"""
Boost#0,"""回合排名決定後的增幅内容"""
BoostDeadline#0,"""回合排名決定後的增幅時間"""
RegistrationShip#0,"""同盟戰艦"""
RoundRankingRemuneration#0,"""回合排名"""
Remuneration#0,"""可獲得的報酬星星數"""
PrizeExchange#0,"""最終排名獎品可購買期間"""
AdditionalPrize#0,"""期間内可購買的最終排名獎品"""
GroupRanking#0,"""最新綜合排名與累計勝利點數"""
GetStarPoint#0,"""已獲得的星星數（貢獻點數）"""
Rank#1,"""任務排名"""
Star#1,"""星星"""
Point#1,"""貢獻點數"""
Progression#1,"""進行度"""
Ranking#0,"""順位"""
RequiredStar#0,"""必要星星數"""
Group#0,"""分組"""
GroupPoint#0,"""貢獻點數"""
Pts#0,"""勝利點數"""
PrizeMenu#0,"""獎品名稱"""
BoostInfo#0,"""增幅情報"""
StartDate#0,"""開始時間"""
EndDate#0,"""結束時間"""
