Title#0,"""Chaotic Tranquility"""
Explanation#0,"""พบร่องรอยของศัตรูจำนวนมากปรากฏตัวขึ้น<br>ที่ Residential Area บน Arks Ship อย่างกระทันหัน<br>ไม่ได้มีเพียง D-arker เท่านั้น แต่ยังมีสิ่งมีชีวิตเผ่าพันธุ์อื่นด้วย<br>...เป็นไปได้ว่าพวกมันกำลังถูกควบคุมอยู่<br>แม้เราจะไม่ได้ต้องการกำจัดพวกมัน แต่ต้องนับเป็นเหตุสุดวิสัย<br>ขอให้ทุกหน่วย<br>รีบรุดไปยังที่เกิดเหตุเพื่อกำจัดผู้บุกรุกให้สิ้นซาก<br>------------------------------<br>สะสม Quest Point ให้ครบ [1000] เพื่อผ่านภารกิจ<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""平穏を引き裂く混沌"""
Explanation#1,"""突如、アークスシップの市街地に<br>多数の敵影が出現した。<br>ダーカーだけではなく、原生種や機甲種<br>果てには龍族までも確認されている。<br>……何らかの洗脳を受けているのだろう。<br>気は進まないが、仕方があるまい。<br>各員直ちに出撃し、侵入した敵を撃破せよ。<br>――――――――――――――――――――<br>クエストポイント【1000】達成でクリア<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""กำจัดศัตรู<br>และสะสม Quest Point !"""
SimpleExplanation#1,"""エネミーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
