un_020330_0010#0,"""อ้าว สวัสดี<br>พักนี้เราพบกันบ่อยดีนะ"""
un_020330_0020#0,"""Maria กำลังยุ่งอยู่กับการฝึก Zeno น่ะนะ<br>ชั้นก็เลยถูกทิ้งให้อยู่คนเดียว"""
un_020330_0030#0,"""ปะ.....เปล่านะ ชั้นไม่ได้รู้สึกเหงาหรือ<br>อะไรสักหน่อย ชั้นก็แค่ไม่อยาก<br>มีส่วนร่วมกับการฝึกนรกแบบนั้นน่ะ"""
un_020330_0040#0,"""เค้าเองก็ทั้งๆ ที่เกือบจะตายอยู่ทุกวันแท้ๆ<br>แต่ก็ยังพยายามอย่างมากเลย"""
un_020330_0060#0,"""ยิ่ง Maria เป็นพวกบ้าพลังอยู่ด้วย<br>เพราะงั้นคงจะให้ทำอะไรฝืนๆ แน่เลย"""
un_020330_0070#0,"""เธอคนนั้นน่ะเป็นประเภทที่จะพูดว่า<br>หากใช้ Photon Magic ไม่ได้ล่ะก็<br>เอาคทาไปทุบแทนซะเลยซี่ น่ะนะ"""
un_020330_0080#0,"""ตอนนี้ Zeno อาจจะกำลังนึกเสียใจอยู่ก็ได้<br>เรื่องที่บอกว่าอยากฝึกฝนตัวเองให้เก่งขึ้น<br>ที่เค้าเรียกกันว่านรกบนดินก็คงจะเป็นอย่างนั้นล่ะ"""
un_020330_0090#0,"""แต่ถึงอย่างนั้น ชั้นก็คิดว่าเค้าต้องแข็งแกร่งขึ้นแน่<br>ครั้งหน้า เธอเองก็ลองไปฝึกฝนดูบ้างมั้ย?"""
un_020330_0010#1,"""あら、こんにちは。<br>最近よく会うわね。"""
un_020330_0020#1,"""マリアがゼノの特訓に夢中でね<br>あたし、ほっとかれてるの。"""
un_020330_0030#1,"""べ、別に寂しくなんかないわよ。<br>あんな地獄のような訓練に<br>つきあいたくないしね。"""
un_020330_0040#1,"""彼も毎日死ぬような目にあいながら<br>なんとか頑張ってるわよ。"""
un_020330_0060#1,"""マリアは考え方が力技だから<br>とにかく無茶させてるはず。"""
un_020330_0070#1,"""テクニック使えないって言ったら<br>杖で殴ればいいじゃないか、って<br>言ってのけたやつだからね。"""
un_020330_0080#1,"""今頃、ゼノは後悔してるかも。<br>鍛えなおしてほしいって言ったことを。<br>生き地獄、ってのはきっとあのことよ。"""
un_020330_0090#1,"""そのぶん、強くなるとは思うけどさ。<br>今度、貴方も鍛えてもらったら？"""
