CorrectionAssignMapTitle#0,"""操作設定の修復"""
CorrectionAssignMapMessage#0,"""操作設定のうち「決定」や「キャンセル」など<br>重要な操作の割り当て内容に問題があったため<br>自動修復を行いました。"""
Title#0,"""オプション"""
Category_Game#0,"""ゲーム設定"""
Category_Game_Hint#0,"""ゲームプレイに関連する機能や<br>カメラ操作などの設定をします。"""
Category_Device#0,"""操作設定"""
Category_Device_Hint#0,"""キーボード・マウス・<%GamePad>など<br>入力機器に関連する設定をします。"""
Category_Sound#0,"""音声設定"""
Category_Sound_Hint#0,"""音声に関連する設定をします。"""
Category_Graphics#0,"""描画設定"""
Category_Graphics_Hint#0,"""グラフィックの描画に関連する設定をします。"""
SubCategory_GameFunction#0,"""機能設定"""
SubCategory_GameFunction_Hint#0,"""ゲーム内の各種機能について設定をします。"""
SubCategory_Camera#0,"""カメラ設定"""
SubCategory_Camera_VITA#0,"""ゲーム内カメラ設定"""
SubCategory_Camera_Hint#0,"""カメラの挙動に関連する設定をします。"""
SubCategory_TextEffect#0,"""テキスト演出設定"""
SubCategory_TextEffect_Hint#0,"""ダメージやアイテム取得表示など<br>テキスト演出に関連する設定をします。"""
SubCategory_Notice#0,"""通知設定"""
SubCategory_Notice_Hint#0,"""ゲーム内の各種通知について設定をします。"""
SubCategory_Talk#0,"""会話設定"""
SubCategory_Talk_Hint#0,"""会話システムに関連する設定をします。"""
SubCategory_Capture#0,"""撮影設定"""
SubCategory_Capture_Hint#0,"""スクリーンショットに関連する設定をします。"""
SubCategory_Other#0,"""その他設定"""
SubCategory_Other_Hint#0,"""エステ、ライドロイド、ダークブラスト<br>などのシステムに関連する設定をします。"""
SubCategory_InputGuide#0,"""操作ガイド表示タイプ"""
SubCategory_InputGuide_Hint#0,"""ゲーム内で表示される操作ガイドの<br>表示タイプを設定します。"""
SubCategory_PadDefine#0,"""<%GamePad>設定"""
SubCategory_PadDefine_Hint#0,"""<%GamePad>の設定をします。"""
SubCategory_KeyBind_Pad#0,"""機能割当（<%GamePad>）"""
SubCategory_KeyBind_Pad_Hint#0,"""<%GamePad>の入力を<br>どの機能に割り当てるか設定します。"""
SubCategory_KeyBind_Mouse#0,"""機能割当（マウス）"""
SubCategory_KeyBind_Mouse_Hint#0,"""マウスの入力を<br>どの機能に割り当てるか設定します。"""
SubCategory_KeyBind_Keyboard#0,"""機能割当（キーボード）"""
