a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""艦隊迎撃戦：敵艦襲撃"""
Explanation#0,"""敵艦隊からの攻撃、第一波の迎撃を確認。<br>反撃にはＡ．Ｉ．Ｓの起動が必要不可欠だが<br>敵艦上の装置が発する光子妨害波により<br>Ａ．Ｉ．Ｓの起動が阻害されている。<br>この問題を解消するため<br>敵戦艦へ強襲を仕掛け、搭載されている<br>Ａ．Ｉ．Ｓ妨害装置を全て破壊せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、輸送を開始します。<br>今回の目的は、敵戦艦に搭載された<br>Ａ．Ｉ．Ｓ妨害装置の破壊です。"""
NpcComMsg2#0,"""Ａ．Ｉ．Ｓ妨害装置は艦上に<br>複数設置されているようです。<br>すべて破壊してください！"""
SimpleExplanation#0,"""敵艦を襲撃し、Ａ．Ｉ．Ｓ妨害装置を破壊せよ！"""
Area0S#0,"""艦隊交戦区域"""
Area0L#0,"""艦隊交戦区域\u3000セクター２展開エリア"""
