MYROOM#0,"""My Room"""
BACKPACK#0,"""Inventory"""
WAREHOUSE#0,"""Storehouse"""
INSTALL#0,"""ติดตั้ง"""
USE#0,"""ใช้"""
PLAY_CUSTOMIZE#0,"""ปรับแต่ง"""
CUSTOMIZE_YOUR_ROOM#0,"""ปรับแต่งห้อง"""
SEND_TO_BACKPACK#0,"""ส่งจาก Storehouse ไปยัง Inventory"""
SEND_TO_WAREHOUSE#0,"""ส่งจาก Inventory ไปยัง Storehouse"""
REMOVAL_TO_BACKPACK#0,"""ลบและส่งไปยัง Inventory"""
REMOVAL_TO_WAREHOUSE#0,"""ลบและส่งไปยัง Storehouse"""
CANCEL#0,"""ยกเลิก"""
INSTALLATION_FAILS#0,"""ไม่สามารถตกแต่งได้ อาจจะเกิดปัญหาดังนี้:<br><br>- ท่านไม่มีของตกแต่ง<br>- ของตกแต่งไม่เหมาะสม"""
ERROR_INSTALLED_ITEM#0,"""ไม่สามารถติดตั้งไอเทมที่เลือกเพราะท่านไม่มี"""
ERROR_USED_ITEM#0,"""ไม่สามารถใช้ไอเทมที่เลือกเพราะท่านไม่มี"""
ERROR_MOVE_BACKPACK#0,"""ไม่สามารถส่งของตกแต่งไปยัง inventory ของท่าน"""
ERROR_MOVE_WAREHOUSE#0,"""ไม่สามารถส่งของตกแต่งไปยัง storehouse ของท่าน"""
REMOVAL_TO_INSTALLED_GOODS#0,"""ถอนของตกแต่งที่ติดตั้งแล้ว"""
IF_REMOVAL_GOODS#0,"""ท่านแน่ใจที่จะถอนของตกแต่งออก?"""
GROUNDER_DECO_GOODS#0,"""Debugtext020"""
GROUND_SKY_CYLINDER#0,"""Debugtext021"""
ROOM_CHANGED_TEST#0,"""Debugtext022"""
GROUND_CYLINDER#0,"""Debugtext023"""
IF_USED_GROUND_CYLINDER#0,"""Debugtext024"""
ROOM_CUSTMISE#0,"""รีฟอร์มห้องใหม่"""
IF_CHAGE_ROOM#0,"""ท่านแน่ใจที่ตะเปลี่ยนห้องของท่านไหม?"""
ERROR_ITEM_NOT#0,"""ไม่มีไอเทม"""
GRID_ON_OFF#0,"""แสดง/ซ่อน Grid"""
REMOVAL_ALL#0,"""ลบของตกแต่งทั้งหมดออก"""
CYLINDER_REFORM#0,"""Debugtext030"""
IF_REMOVAL_ALL_GOODS#0,"""ท่านแน่ใจที่จะลบของตกแต่งทั้งหมดออกหรือไม่?"""
TITLE_ROOM_CUTMIZE#0,"""รีฟอร์มห้องใหม่"""
MENU_CENTER#0,"""กลาง: """
MENU_LEFT#0,"""ซ้าย:"""
MENU_RIGHT#0,"""ขวา:"""
DEFAULT#0,"""ค่าเริ่มต้น"""
NONE#0,"""ไม่มี"""
MYROOM#1,"""マイルーム"""
BACKPACK#1,"""所持品"""
WAREHOUSE#1,"""倉庫"""
INSTALL#1,"""設置する"""
USE#1,"""使用する"""
PLAY_CUSTOMIZE#1,"""カスタマイズする"""
CUSTOMIZE_YOUR_ROOM#1,"""部屋をカスタマイズ"""
SEND_TO_BACKPACK#1,"""倉庫から所持品へ送る"""
SEND_TO_WAREHOUSE#1,"""所持品から倉庫へ送る"""
REMOVAL_TO_BACKPACK#1,"""撤去して所持品に送る"""
REMOVAL_TO_WAREHOUSE#1,"""撤去して倉庫に送る"""
CANCEL#1,"""キャンセル"""
INSTALLATION_FAILS#1,"""設置できませんでした。<br>以下の原因の可能性があります。<br><br>・アイテムを所持していない<br>・設置するアイテムが不適切"""
ERROR_INSTALLED_ITEM#1,"""選択したアイテムがないため設置できません。"""
ERROR_USED_ITEM#1,"""選択したアイテムがないため使用できません。"""
ERROR_MOVE_BACKPACK#1,"""所持品に預けられませんでした。"""
ERROR_MOVE_WAREHOUSE#1,"""倉庫に預けられませんでした。"""
REMOVAL_TO_INSTALLED_GOODS#1,"""設置済みのグッズ撤去"""
IF_REMOVAL_GOODS#1,"""このグッズを撤去しますか?"""
GROUNDER_DECO_GOODS#1,"""Debugtext020"""
GROUND_SKY_CYLINDER#1,"""Debugtext021"""
ROOM_CHANGED_TEST#1,"""Debugtext022"""
GROUND_CYLINDER#1,"""Debugtext023"""
IF_USED_GROUND_CYLINDER#1,"""Debugtext024"""
ROOM_CUSTMISE#1,"""ルームリフォーム"""
IF_CHAGE_ROOM#1,"""ルーム変更を行いますか?"""
ERROR_ITEM_NOT#1,"""アイテムがありません"""
GRID_ON_OFF#1,"""グリッドON/OFF"""
REMOVAL_ALL#1,"""全てのグッズを撤去"""
CYLINDER_REFORM#1,"""Debugtext030"""
IF_REMOVAL_ALL_GOODS#1,"""全てのグッズを撤去しますか?"""
TITLE_ROOM_CUTMIZE#1,"""ルームのリフォーム"""
MENU_CENTER#1,"""センター:"""
MENU_LEFT#1,"""レフト:"""
MENU_RIGHT#1,"""ライト:"""
DEFAULT#1,"""デフォルト"""
NONE#1,"""なし"""
