name_7664#0,"""ホーニャン"""
ssn_011161_0010#0,"""フフフ、いい心がけね。"""
ssn_011161_0020#0,"""……って、あなたクラスがフォースじゃないわよ？"""
ssn_011161_0030#0,"""戦い方を教わりたいなら、“クラスカウンター”で、<br>クラスをフォースに変更してきてちょうだい。"""
ssn_011161_0040#0,"""あと、ちゃんとフォースの<br>“クラススキル”も覚えておくようにね。"""
ssn_011161_0050#0,"""でもまあ、先に説明だけはしておくわ。"""
ssn_011161_0060#0,"""フォースは遠距離からのテクニック攻撃が得意なクラスよ。"""
ssn_011161_0070#0,"""エネミーの“弱点属性”で攻撃するっていうのが、<br>まあ、基本的な戦い方ね。"""
ssn_011161_0080#0,"""クラススキルは、体内のフォトン貯蔵量を引き上げたり、<br>消費したフォトンの回復を早めたりするものが多いわ。"""
ssn_011161_0090#0,"""そうね……初心者はまず、<br>“フォトンフレア”に慣れるといいかもしれないわね。"""
ssn_011161_0100#0,"""訓練の課題を出すわ。やってみてちょうだい。"""
