IncidentName#0,"""ร่างโคลนของ ARKS? ขัดขวางมัน!"""
TrialBeginMsg#0,"""ร่างโคลนของ ARKS? กำจัดพวกมันทั้งซะ!"""
TrialAbstract#0,"""ร่างโคลนของ ARKS? กำจัดพวกมันทั้งซะ!"""
IncidentName#1,"""アークスの模倣体？を迎撃せよ"""
TrialBeginMsg#1,"""アークスの模倣体？を<br>すべて撃破せよ！"""
TrialAbstract#1,"""アークスの模倣体？を<br>すべて撃破せよ！"""
NpcComOnBegin#0,"""ปฏิกริยานี้มัน...... ARKS งั้นเหรอ?<br>ไม่ใช่ นี่มัน D-arker ต่างหาก!<br>รีบตั้งขบวนต่อสู้เร็วเข้า!"""
NpcComOnSuccess#0,"""ปฏิกริยาของศัตรู หายไปหมดแล้ว<br>...คงไม่จำเป็นต้องไล่ตามแล้ว<br>ถอยทัพและทำภารกิจของตัวเองต่อไปด้วย"""
NpcComOnBegin#1,"""この反応……アークス？<br>いえ、ダーカーの模倣体です！<br>迎撃態勢を取ってください！"""
NpcComOnSuccess#1,"""敵性反応、消失<br>……追跡調査は必要ありません<br>引き続き、任務を続けてください"""
NpcComOnBegin#2,"""/face3 ปฏิกริยานี้มัน...ชิ ร่างโคลนเรอะ!<br>แจ้งไปยังทุกหน่วย รีบกำจัดมันให้เร็วที่สุด!"""
NpcComOnSuccess#2,"""/face6 ไม่พบปฏิกริยาของศัตรู<br>...อย่างน้อยตอนนี้มันก็หายไปแล้ว<br>กลับไปทำภารกิจของตัวเองต่อได้แล้ว"""
NpcComOnBegin#3,"""/face3 この反応……ちっ、模倣体か！<br>各員に告ぐ、即時に迎撃態勢を整え<br>敵を殲滅せよ！"""
NpcComOnSuccess#3,"""/face6 敵性反応の消失を確認<br>……敵は消えた、それだけだ<br>引き続き任務を続けろ"""
NpcComOnBegin#4,"""เอ๊ะ...อะ...ARKS เหรอ? ไม่ใช่นี่!?<br>เอ๊ นั่นมันพวกร่างโคลน...<br>ชะ...ช่วยกำจัดมันด้วยคะ!"""
NpcComOnSuccess#4,"""/face6 ปฏิกริยาของศัตรูหายไปหมดแล้ว...<br>...คงไม่จำเป็นต้องไล่ตามหรอกค่ะ<br>ทำภารกิจของตัวเองต่อได้เลยนะคะ"""
NpcComOnBegin#5,"""えっ、あ、アークス？\u3000じゃない？！<br>あれ、アークスのみなさんの模倣……<br>あ、げ、迎撃してくださいっ！"""
NpcComOnSuccess#5,"""/face6 敵目標の反応消失、です……<br>……追跡調査の必要もないそうです<br>そのまま任務を続けてください"""
