name_7013#0,"""イルマ"""
msn_022062_0010#0,"""ああ、うん。<br>そこで大丈夫。"""
msn_022062_0020#0,"""ルシエランに聞いたら、<br>データの取りこぼしがあったみたいでね。"""
msn_022062_0030#0,"""かなり調べたはずなんだけど、<br>全部は見つけられてなかったみたい。"""
msn_022062_0040#0,"""僕もまだまだだね……。"""
msn_022062_0050#0,"""ちょっと待ってね。<br>君のマグを経由して、データを……。"""
msn_022062_0060#0,"""本当だ。ここでブロックされてたのか。<br>これは、構造を知らないと見逃すなぁ……。"""
msn_022062_0070#0,"""……よし、回収完了！"""
msn_022062_0080#0,"""今回のデータを組み合わせて、<br>いろいろと調査が進められると思う。"""
msn_022062_0090#0,"""いやー、ありがとう。<br>本当に助かったよ。"""
msn_022062_0100#0,"""それじゃ、……あっ！<br>よかったら、ついでにロッジにも顔を出してあげてよ。"""
msn_022062_0110#0,"""メリとかたぶん、喜ぶと思うよ。"""
