name01#0,"""Frosty"""
name01#1,"""フロスティ"""
text00#0,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>ขอบคุณที่ให้ความร่วมมือ"""
text01#0,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>ขอบคุณที่ลำบาก"""
text02#0,"""ยืนยันการส่งสินค้า<br>เสร็จสิ้นการจ้างวาน"""
text03#0,"""ยืนยันผลงานเรียบร้อย<br>ขอบพระคุณมาก"""
text04#0,"""ยืนยันการส่งสินค้า<br>ขอบคุณที่ให้ความร่วมมือ"""
text05#0,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>ดำเนินการส่งคำขอบคุณ"""
text06#0,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>ดำเนินการส่งคำขอบคุณที่ให้ความร่วมมือ"""
text07#0,"""ยืนยันการส่งสินค้า<br>คราวหน้าต้องรบกวนอีกนะ"""
text08#0,"""เสร็จสิ้นการจ้างวาน<br>ขอบคุณที่ให้ความร่วมมือ"""
text09#0,"""ยืนยันการส่งสินค้า<br>เสร็จสิ้นการจ้างวานเรียบร้อย"""
text00#1,"""依頼物、確認しました。<br>ご協力、感謝します。"""
text01#1,"""依頼品、確認。<br>ご尽力、感謝します。"""
text02#1,"""納品を確認。<br>依頼完了です。"""
text03#1,"""成果、確認しました。<br>感謝致します。"""
text04#1,"""納品、確認しました。<br>ご助力、誠に感謝します。"""
text05#1,"""依頼品、確認。<br>お礼、申し上げます。"""
text06#1,"""依頼品、確認いたしました。<br>ご助力、感謝申し上げます。"""
text07#1,"""納品、感謝申し上げます。<br>次回、宜しくお願いします。"""
text08#1,"""依頼達成と認識。<br>ご協力、感謝します。"""
text09#1,"""納品を確認。<br>依頼達成と、認識します。"""
text00#2,"""ของที่ส่งมีคุณภาพดีกว่าที่คิด<br>ขอขอบพระคุณมาก"""
text01#2,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>ของมีคุณภาพสูงกว่าที่คิด<br>ขอบคุณที่ให้ความร่วมมือ"""
text02#2,"""ยืนยันการส่งสินค้า<br>สินค้ามีคุณภาพยอดเยี่ยม<br>ขอบคุณที่ลำบาก"""
text03#2,"""ยืนยันผลงานเรียบร้อย<br>ของมีคุณภาพดีกว่าที่สั่ง<br>ขอบพระคุณมากที่ลำบาก"""
text04#2,"""ยืนยันการส่งสินค้า<br>ของมีคุณภาพดีเลิศ<br>ขอบคุณที่ให้การช่วยเหลือ"""
text05#2,"""ยืนยันไอเทมจ้างวานเรียบร้อย<br>เป็นของที่ยอดเยี่ยม<br>ดำเนินการส่งคำขอบคุณ"""
text06#2,"""ไอเทมจ้างวานเป็นของชั้นยอด<br>ประทับใจอย่างมาก"""
text07#2,"""ของที่ได้รับยอดเยี่ยมมาก<br>คราวหน้าต้องรบกวนอีกนะ"""
text08#2,"""ได้รับของเรียบร้อย<br>ยอดเยี่ยมกว่าที่คิดไว้<br>ประทับใจมาก ขอขอบคุณ"""
text09#2,"""ได้รับของเรียบร้อย<br>ยอดเยี่ยมกว่าที่ตั้งความหวังไว้<br>ประทับใจมาก ขอขอบคุณที่ลำบาก"""
text00#3,"""納品物、想定以上と認識。<br>感謝いたします。"""
text01#3,"""依頼品、確認。<br>想定以上と判断します。<br>ご協力、感謝します。"""
text02#3,"""納品を確認。<br>傑作と判定。<br>ご尽力、感謝します。"""
text03#3,"""成果、確認しました。<br>想定外の逸品と認識。<br>ご尽力、感謝申し上げます。"""
text04#3,"""納品、確認しました。<br>至高の品と認識します。<br>ご助力、誠に感謝します。"""
text05#3,"""依頼品、確認。<br>一級品と認識。<br>お礼、申し上げます。"""
text06#3,"""依頼物、一級品と認識。<br>恐悦至極に存じます。"""
text07#3,"""良作と認識。<br>感謝申し上げます。<br>次回、宜しくお願いします。"""
text08#3,"""依頼品、回収。<br>想定以上の良作と認識。<br>ご助力、至極感謝致します。"""
text09#3,"""納品、回収。<br>期待値以上の出来と判断。<br>ご尽力、至極感謝致します。"""
