ra_043010_0001#0,"""A.P.241/4/2"""
ra_043010_0010#0,"""アークスシップに対する地球からのアクセスは<br>規模としては、小さいものでしたが<br>なんとなんと、１２年も前からあったようです。"""
ra_043010_0020#0,"""そして、２年前からはヒツギさんのように<br>こちらに「来られる」人を送り込んでの<br>調査にシフトしていますね。"""
ra_043010_0030#0,"""１２年前……２０１６年だから<br>ちょうどエーテル通信技術が確立して<br>世界中に「エスカ」が行き渡った時期ね。"""
ra_043010_0040#0,"""２年前は……２年前？<br>地球では、そんなに大きな出来事は<br>なかったと思うんだけど……"""
ra_043010_0050#0,"""……おそらく、起因は地球ではなくこちらです。<br>１２年前も２年前も、地球でなく<br>こちら側で、大きな事件がありました。"""
ra_043010_0060#0,"""１２年前にも、２年前にもあったこと。<br><%me>さんは、わかります？"""
ra_043010_0070#0,"""１．マトイのこと？"""
ra_043010_0080#0,"""２．【深遠なる闇】のこと？"""
ra_043010_0090#0,"""たしかに、それもあるのですが<br>私は【深遠なる闇】の復活がトリガーに<br>なっているのでは、と分析しています。"""
ra_043010_0100#0,"""はい、そうです。<br>【深遠なる闇】の復活をトリガーに<br>状況が変わっていると分析できます。"""
ra_043010_0110#0,"""【深遠なる闇】の復活タイミングを<br>地球側が掴んで、アプローチを<br>変化させているのでは、と。"""
ra_043010_0120#0,"""関連性は不明ですが<br>集まっている情報だけを見れば<br>そういった答えも見えてきます。"""
ra_043010_0130#0,"""とはいえ、推論の域は出ないか。<br>ごめん、もっとあたしが色々知ってれば……"""
ra_043010_0140#0,"""いえいえ、推論でも十分ですよ。<br>点だった情報が、線になりつつあるって<br>ことですからね。"""
