Button_Move_Pad#0,"""<pict Alpha_ls>"""
Button_Move_Keyboard#0,"""<%MoveForward><pict 4space><%MoveLeft><pict 4space><%MoveBack><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_Dush#0,"""長按<pict 4space><%Avoid><pict 4space>"""
Button_DushJump#0,"""在衝刺中<pict 4space><%Jump>"""
Button_Attack#0,"""<%NormalAttack>"""
Button_Avoid#0,"""<%Avoid>"""
Button_LockOn#0,"""<%LockOn>"""
Button_PhotonArts#0,"""<%PhotonArts>"""
Button_SubPallet_Select#0,"""<%SubPaletteLeft><pict 4space><%SubPaletteRight>"""
Button_SubPallet_Action#0,"""<%SubPalette>"""
Button_Glide_01#0,"""在跳躍中<pict 4space><%Jump>"""
Button_Glide_02#0,"""或長按<pict 4space><%Jump><pict 4space>"""
Label_Move#0,"""移動"""
Label_Jump#0,"""跳躍"""
Label_Dush#0,"""光子衝刺"""
Label_DushJump#0,"""光子衝刺跳"""
Label_Attack#0,"""普通攻擊"""
Label_Avoid#0,"""回避"""
Label_LockOn#0,"""鎖定"""
Label_PhotonArts#0,"""光子技能"""
Label_SubPallet_Select#0,"""快捷列選擇"""
Label_SubPallet_Action#0,"""快捷列執行"""
Label_Glide#0,"""光子滑翔"""
