11_voice_NPC_5004_100#0,"""...啊、呃......<br>凡事要小心唷。"""
11_voice_NPC_5004_101#0,"""這裡真的人好多啊。<br>好多新奇的東西啊，眼睛都快花了。<br>呵呵，不知道為何好高興喔。"""
11_voice_NPC_5004_100#1,"""我不太記得過去的事情，<br>但我不會因此感到不安。<br>......這是為什麼呢？"""
11_voice_NPC_5004_100#2,"""我看過很歡樂的場景，<br>但這裡還是讓我覺得很新鮮。<br>...光是看著這一切就讓我覺得很有趣。"""
11_voice_NPC_5004_105#0,"""我有時會作夢。<br>那是個奇怪的夢，但我不記得內容。<br>感覺上既恐怖又懷念..."""
11_voice_NPC_5004_101#1,"""歡迎回來，<%me><br>你今天也很努力吧？<br>嗯，你一定很努力。"""
11_voice_NPC_5004_105#1,"""我雖然運氣好獲救了，<br>但不知道除了我以外，還有沒有像我一樣<br>等待救援的人？"""
Matoi_08_020#0,"""如果有的話<br>...只有我一個人獲救<br>會讓我覺得有點抱歉。"""
11_voice_NPC_5004_105#2,"""ARKS的成員好像很辛苦，<br>但我很羨慕他們充滿了活力。<br>如果有一天我也能加入他們就好了。"""
11_voice_NPC_5004_104#0,"""我？　我不無聊啊。<br>有很多人會跟<%me> <br>聊天。"""
11_voice_NPC_5004_100#3,"""治好身體後要做什麼呢...<br>啊......當成目標好了。<br>這樣想就會充滿衝勁了。"""
11_voice_NPC_5004_104#1,"""嗯...ARKS的成員<br>都穿得好有型喔。<br>我也想要那樣的衣服......"""
11_voice_NPC_5004_100#4,"""唉...這是為什麼呢？<br>我沒有留下多少記憶<br>但現在我覺得解脫了。"""
Matoi_13_020#0,"""以前我有很多做不到的事情，<br>所以當時覺得很難受。<br>呵呵，但是我現在或許是幸福的。"""
11_voice_NPC_5004_104#2,"""請問，大銀幕上的情報<br>是怎麼收集來的啊？<br>原理真是不可思議耶。"""
11_voice_NPC_5004_105#3,"""ARKS戰艦在兩百年前<br>就出發航向宇宙了對吧？<br>為何要航向宇宙呢？"""
