name01#0,"""Ashtalt"""
11_voice_shop_412#0,"""You've completed the requirements to get a card.<br>Here is your new card."""
text02#0,"""I don't know the details myself but... apparently this is a guide to something called the paradigm matrix."""
text03#0,"""Your next goal is... to complete exploring B-5 of the paradigm matrix's ""An Unpredictable Prediction."""""
text04#0,"""If you've already completed it, I'll stamp the seal. I'm counting on you."""
text05#0,"""Please do your best."""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""詳細は私にもわかりかねますが……<br>マターボードと呼ばれるものの<br>ガイダンスのようです。"""
text03#1,"""次の目的は……<c bb0000>マターボード<br>「不測の予測が見せるもの」の<br>Ｂ－５の探索を達成する<c>こと、です。"""
text04#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text05#1,"""それでは、頑張って下さい。"""
